stem,stem_genders
a,m
afRin,mfn
aMSa,m
aMSaka,mfn
aMSaka,m
aMSaka,n
aMSakaraRa,n
aMSakalpanA,f
aMSaprakalpanA,f
aMSapradAna,n
aMSaBAgin,mfn
aMSaBAj,mfn
aMSaBU,m
aMSaBUta,mfn
aMSarUpiRI,f
aMSavat,m
aMSasavarRana,n
aMSasvara,m
aMSahara,mfn
aMSahArin,mfn
aMSAMSa,m
aMSAvataraRa,n
aMSitA,f
aMSin,mfn
aMSu,m
aMSuka,n
aMSujAla,n
aMSuDara,m
aMSuDAna,n
aMSuDAraya,m
aMSunadI,f
aMSupawwa,n
aMSupati,m
aMSuBartf,m
aMSumat,mfn
aMSumat,m
aMSumatI,f
aMSumatPalA,f
aMSumAlA,f
aMSumAlin,m
aMSula,m
aMSuvARa,m
aMSuvimarda,m
aMSuhasta,m
aMSUdaka,n
aMsa,m
aMsakUwa,m
aMsatra,n
aMsatrakoSa,mfn
aMsadaGna,mfn
aMsaDrI,f
aMsapIWa,m
aMsapfzWa,n
aMsaPalaka,n
aMsaBAra,m
aMsaBArika,mfn
aMsamUla,n
aMsala,mfn
aMseBAra,m
aMseBArika,mfn
aMsoccaya,m
aMsya,mfn
aMhati,f
aMhatI,f
aMhana,n
aMhas,n
aMhasaspati,m
aMhaspatya,n
aMhiti,f
aMhu,mfn
aMhu,n
aMhuBedI,f
aMhura,mfn
aMhUraRa,mfn
aMhUraRa,n
aMhomuc,mfn
aMhoyu,mfn
aMholiNga,mfn
aMhri,m
aMhripa,m
aMhriSiras,n
aMhriskanDa,m
aka,n
akaca,mfn
akaca,m
akawuka,mfn
akawuPala,m
akaWora,mfn
akaqama,n
akaqamacakra,n
akaRaka,mfn
akaRwaka,mfn
akaRWa,mfn
akatTana,mfn
akaTaha,n
akaTya,mfn
akanizWa,m
akanizWaga,m
akanizWapa,m
akanyA,f
akapIvat,m
akabara,m
akabbara,m
akampana,m
akampita,mfn
akampita,m
akampya,mfn
akara,mfn
akaraRa,n
akaraRi,f
akaraRIya,mfn
akarA,f
akarizyat,mfn
akaruRa,mfn
akaruRatva,n
akarkaSa,mfn
akarRa,mfn
akarRaka,mfn
akarRaDAra,mfn
akarRIya,mfn
akarRya,mfn
akartana,m
akartf,m
akartftva,n
akarmaka,mfn
akarmaRya,mfn
akarman,mfn
akarman,n
akarmaBoga,m
akarmAnvita,mfn
akarmikA,f
akala,mfn
akalaNka,mfn
akali,mfn
akalita,mfn
akalka,mfn
akalkatA,f
akalkana,mfn
akalkala,mfn
akalkA,f
akalpa,mfn
akalpita,mfn
akalmaza,mfn
akalmaza,m
akalmAza,mfn
akalmAza,m
akalya,mfn
akalyARa,mfn
akalyARa,n
akava,mfn
akavaca,mfn
akavara,m
akavAri,mfn
akavi,mfn
akasyavid,mfn
akARa,mfn
akARqa,mfn
akARqapAtajAta,mfn
akARqaSUla,n
akAtara,mfn
akAma,mfn
akAmakarSana,mfn
akAmatA,f
akAmasaMjYapana,n
akAmahata,mfn
akAmin,mfn
akAya,mfn
akAyikA,f
akAra,m
akAraRa,mfn
akAraRa,n
akAraRotpanna,mfn
akArin,mfn
akArRavezwakika,mfn
akArya,mfn
akArya,n
akAryakArin,mfn
akArzRya,n
akAla,m
akAla,mfn
akAlaka,n
akAlakuzmARqa,m
akAlakusuma,n
akAlakOmudI,f
akAlaja,mfn
akAlajaladodaya,m
akAlajAta,mfn
akAlameGodaya,m
akAlavelA,f
akAlasaha,mfn
akAlotpanna,mfn
akAlya,mfn
akAvaNka,n
akAsAra,m
akiMcitkara,mfn
akiMcid,n
akiYcana,mfn
akiYcana,n
akiYcanatA,f
akiYcanatva,n
akiYcaniman,m
akitava,m
akilina,mfn
akilviza,mfn
akIrti,f
akIrtikara,mfn
akuRWa,mfn
akuRWaDizRya,n
akuRWita,mfn
akuRqala,mfn
akutaScana,m
akutaScala,m
akutaScidBaya,mfn
akutUhala,mfn
akutoBaya,mfn
akutomftyu,mfn
akutracaBaya,mfn
akutsayat,mfn
akutsita,mfn
akupya,n
akupyaka,n
akupyat,mfn
akumAra,m
akumBa,m
akula,mfn
akula,m
akula,n
akulaka,mfn
akulatA,f
akulA,f
akulIna,mfn
akuSala,mfn
akuSala,n
akuSIda,mfn
akuzWipfzat,mfn
akusIda,mfn
akusuma,mfn
akuha,m
akuhaka,m
akUja,mfn
akUjana,n
akUjana,mfn
akUwa,mfn
akUpAra,mfn
akUpAra,m
akUpArA,f
akUrca,m
akUrmapfzat,mfn
akfcCra,mn
akfcCrin,mfn
akfta,mfn
akfta,n
akftakArya,mfn
akftakftya,mfn
akftacUqa,mfn
akftajYa,mfn
akftajYatA,f
akftabudDi,mfn
akftabudDitva,n
akftavraRa,m
akftaSmaSAna,mfn
akftA,f
akftAtman,mfn
akftArTa,mfn
akftAstra,mfn
akftitva,n
akftin,mfn
akftta,mfn
akfttaruc,mfn
akftya,mfn
akftya,n
akftyakArin,mfn
akftrima,mfn
akftsna,mfn
akfpa,mfn
akfpaRa,mfn
akfmiparisfpta,mfn
akfSa,mfn
akfSakIrti,mfn
akfSalakzmI,mfn
akfSASva,mfn
akfzIvala,mfn
akfzwa,mfn
akfzwa,n
akfzwa,m
akfzwapacya,mfn
akfzRakarman,mfn
aketana,mfn
aketu,mfn
akeSa,mfn
akowa,m
akopa,m
akopana,mfn
akopya,mfn
akovida,mfn
akOSala,n
akkA,f
akkAdevI,f
akta,mfn
akta,n
aktA,f
akti,f
aktu,m
aknopana,mfn
akra,mfn
akra,m
akratu,mfn
akrandita,mfn
akrama,mfn
akrama,m
akramoQA,f
akravihasta,mfn
akravyAd,mfn
akravyAda,mfn
akrAnta,mfn
akrAntA,f
akriya,mfn
akriyA,f
akrIqat,mfn
akrIta,mfn
akruDyat,mfn
akrUra,mfn
akrUra,m
akroDa,m
akroDa,mfn
akroDana,mfn
akroDana,m
akroDamaya,mfn
aklama,m
aklikA,f
aklinnavartman,n
aklizwa,mfn
aklizwakarman,mfn
aklizwakArin,mfn
aklizwavrata,mfn
aklIba,mfn
akledya,mfn
akleSa,m
akza,m
akza,n
akzaka,m
akzaka,mn
akzakarRa,m
akzakAma,mfn
akzakitava,m
akzakI,f
akzakuSala,mfn
akzakzapaRa,m
akzaglaha,m
akzacaraRa,m
akzaja,m
akzaRa,mfn
akzaRvat,mfn
akzata,mfn
akzata,m
akzata,mn
akzata,n
akzatattva,n
akzatattvavid,mfn
akzatayoni,f
akzatA,f
akzatAmaya,m
akzatra,mfn
akzadarSaka,m
akzadAya,m
akzadfkkarman,n
akzadfS,m
akzadevana,n
akzadevin,m
akzadyU,m
akzadyUta,n
akzadrugDa,mfn
akzadvAra,n
akzaDara,mfn
akzaDara,m
akzaDarma,m
akzaDur,f
akzaDurA,f
akzaDUrta,m
akzaDUrtila,m
akzan,n
akzanEpuRa,n
akzanEpuRya,n
akzanvat,mfn
akzapawala,n
akzapad,m
akzaparAjaya,m
akzapAwa,m
akzapAwaka,m
akzapAwika,m
akzapAta,m
akzapAtana,n
akzapAda,m
akzapIqa,m
akzapIqA,f
akzaprapAtana,n
akzapriya,mfn
akzaBA,f
akzaBAga,m
akzaBAra,m
akzaBUmi,f
akzama,mfn
akzamatA,f
akzamada,m
akzamA,f
akzamAtra,n
akzamAlA,f
akzamAlikA,f
akzamAlin,mfn
akzamin,mfn
akzaya,mfn
akzaya,m
akzayaguRa,mfn
akzayaguRa,m
akzayatA,f
akzayatftIyA,f
akzayatva,n
akzayanIvI,f
akzayapuruhUta,m
akzayamati,m
akzayaloka,m
akzayavawa,m
akzayA,f
akzayiRI,f
akzayin,mfn
akzayya,mfn
akzayya,n
akzayyanavamI,f
akzayyodaka,n
akzara,mfn
akzara,m
akzara,n
akzaraka,n
akzarakara,m
akzaracaYcu,m
akzaracaRa,m
akzaracana,m
akzaracuYcu,m
akzaracyutaka,n
akzaraCandas,n
akzarajananI,f
akzarajIvaka,m
akzarajIvika,m
akzarajIvin,m
akzaratUlikA,f
akzaranyAsa,m
akzarapaNkti,mfn
akzarapaNkti,f
akzaraBAj,mfn
akzaramuKa,m
akzaramuzwikA,f
akzaravat,mfn
akzaraSikzA,f
akzaraSUnya,mfn
akzarasaMsTAna,n
akzarasaMhitA,f
akzarasaDAtu,n
akzarasamAmnAya,m
akzarasampad,f
akzarA,f
akzarAkzara,m
akzarANga,n
akzarAja,m
akzarAntara,n
akzaresTA,mfn
akzarya,mfn
akzaryaMrevat,n
akzavat,mfn
akzavatI,f
akzavAma,m
akzavid,mfn
akzavftta,mfn
akzaSabda,m
akzaSikzA,f
akzaSIla,mfn
akzaSORqa,mfn
akzasUkta,n
akzasUtra,n
akzasUtravalayin,mfn
akzastuza,m
akzahfdaya,n
akzahfdayajYa,mfn
akzAMsa,m
akzAgra,n
akzAgrakIla,m
akzAgrakIlaka,m
akzAtivApa,m
akzAnah,mfn
akzAnta,mfn
akzAnti,f
akzAra,mfn
akzAramadyamAMsAda,mfn
akzAralavaRa,n
akzAralavaRa,mfn
akzAralavaRASin,mfn
akzAvapana,n
akzAvalI,f
akzAvApa,m
akzi,n
akzika,m
akzikUwa,n
akzikUwaka,n
akzigata,mfn
akzigola,m
akzijAha,n
akziRI,f
akziRvat,mfn
akzit,mfn
akzita,mfn
akzita,n
akzitavya,mfn
akzitArA,f
akzitAvasu,m
akziti,f
akziti,mfn
akzitoti,m
akzinimeza,m
akzipakzman,n
akzipawala,n
akzipAka,m
akziba,m
akziba,mfn
akziba,n
akzibanDa,m
akziBU,mfn
akziBezaja,n
akziBezaja,m
akziBruva,n
akzimat,mfn
akziyat,mfn
akziloman,n
akzivikURita,n
akzisaMtarjana,n
akzisaMskAra,m
akzIka,m
akzIRa,mfn
akzIba,mfn
akzIba,m
akzIba,n
akzIyamARa,mfn
akzu,m
akzuRRa,mfn
akzuRRatA,f
akzudra,mfn
akzuD,f
akzuDya,mfn
akzetra,mfn
akzetra,n
akzetrajYa,mfn
akzetravid,mfn
akzetrin,mfn
akzEtrajYya,n
akzowa,m
akzoqa,m
akzoqaka,m
akzoDuka,mfn
akzoBa,mfn
akzoBa,m
akzoBa,n
akzoBya,mfn
akzoBya,m
akzoByatIrTa,m
akzoByA,f
akzOhiRI,f
akzRa,n
akzRayAkfta,mfn
akzRayAdeSa,m
akzRayAdruh,mfn
akzRayApacCedana,n
akzRayArajju,f
akzRayAvan,mfn
akzRayAstomIyA,f
akzyAmaya,m
akzyAmayin,mfn
aKawwa,m
aKawwi,m
aKaRqa,mfn
aKaRqa,n
aKaRqakala,mfn
aKaRqana,n
aKaRqana,m
aKaRqamaRqala,mfn
aKaRqita,mfn
aKaRqitartu,mfn
aKaRqopaDi,m
aKanat,mfn
aKarva,mfn
aKarvan,mfn
aKarvA,f
aKAta,mfn
aKAta,mn
aKAdya,mfn
aKidra,mfn
aKidrayAman,mfn
aKinna,mfn
aKila,mfn
aKilAtman,m
aKewika,m
aKeditva,n
aKedin,mfn
aKyAta,mfn
aKyAti,f
aKyAtikara,mfn
aga,m
aga,mfn
agacCa,mfn
agacCa,m
agaja,mfn
agaja,n
agajA,f
agaRita,mfn
agaRitapratiyAta,mfn
agaRitalajja,mfn
agata,mfn
agata,n
agatAsu,mfn
agati,mfn
agati,f
agatika,mfn
agatikagati,f
agatIka,mfn
agada,mfn
agada,m
agadaMkAra,m
agadaveda,m
agadita,mfn
aganDa,mfn
aganDasevin,mfn
aganDi,mfn
aganDin,mfn
agama,mfn
agama,m
agamya,mfn
agamyagA,f
agamyarUpa,mfn
agamyA,f
agamyAgamana,n
agamyAgamanIya,mfn
agamyAgAmin,mfn
agarI,f
agaru,mn
agartamit,mfn
agartaskandya,mfn
agarBa,mfn
agarBA,f
agarva,mfn
agarhita,mfn
agavyUti,mfn
agasti,m
agastI,f
agastIya,mfn
agastya,m
agastyagItA,f
agastyagfhaspatika,mfn
agastyacAra,m
agastyamArga,m
agastyaSAsta,mfn
agastyasaMhitA,f
agastyodaya,m
agA,mf
agAtf,m
agAtmajA,f
agADa,mfn
agADa,m
agADajala,mfn
agADajala,n
agADaruDira,n
agADitva,n
agAra,n
agAradAhin,m
agAravinoda,m
agArastUpa,m
agArasTURAvirohaRa,n
agArAvakASa,m
agArin,mfn
agArin,m
agAlita,mfn
agAvaha,m
agira,m
agirOkas,mfn
agIta,mfn
agu,mfn
agu,m
aguRa,mfn
aguRa,m
aguRatA,f
aguRatva,n
aguRavat,mfn
aguRavAdin,mfn
aguRaSIla,mfn
aguRin,mfn
agupta,mfn
aguru,mfn
aguru,mn
agUQa,mfn
agUQaganDa,n
agUQaBAva,mfn
agfBIta,mfn
agfBItaSocis,mfn
agfha,mfn
agfhatA,f
agfhIta,mfn
agfhItadiS,mfn
agfhRat,mfn
agfhya,mfn
ago,f
agocara,mfn
agocara,n
agocara,m
agotA,f
agopA,mfn
agoruDa,mfn
agohya,mfn
agOkas,m
agDAd,mfn
agnAmarutO,m
agnAyI,f
agnAvizRU,m
agni,m
agnika,m
agnika,n
agnikaRa,m
agnikarman,n
agnikalpa,mfn
agnikArikA,f
agnikArya,n
agnikAzWa,n
agnikukkuwa,m
agnikuRqa,n
agnikumAra,m
agnikfta,mfn
agniketu,mfn
agniketu,m
agnikoRa,m
agnikrIqA,f
agnikzetra,n
agniKadA,f
agnigarBa,mfn
agnigarBa,m
agnigarBA,f
agnigfha,n
agnigodAna,m
agnigranTa,m
agniGawa,m
agnicakra,n
agnicaya,m
agnicayana,n
agnicit,mfn
agniciti,f
agnicityA,f
agnicitvat,mfn
agnija,mfn
agnija,m
agnijanman,m
agnijA,f
agnijAra,m
agnijAla,m
agnijihva,mfn
agnijihvA,f
agnijyezWa,mfn
agnijyotis,mfn
agnijvalitatejana,mfn
agnijvAla,m
agnijvAlA,f
agnitanu,f
agnitap,mfn
agnitapas,mfn
agnitapta,mfn
agnitA,f
agnituRqa,m
agnitejas,mfn
agnitejas,m
agnitraya,n
agnitrA,mfn
agnitretA,f
agnida,m
agnidagDa,mfn
agnidagDa,n
agnidagDa,m
agnidatta,m
agnidamanI,f
agnidAyaka,m
agnidAha,m
agnidiS,f
agnidIpana,mfn
agnidIpta,mfn
agnidIptA,f
agnidIpti,f
agnidUta,mfn
agnidUzita,mfn
agnideva,m
agnidevata,mfn
agnidevA,f
agnidEvata,n
agniD,m
agniDAna,n
agninakzatra,n
agninayana,n
agninAman,n
agninArAyaRa,m
agniniDAna,n
agniniryAsa,m
agninunna,mfn
agninetra,mfn
agninyakta,mfn
agnipakva,mfn
agnipatana,n
agnipada,m
agniparikriyA,f
agniparicCada,m
agnipariDAna,n
agniparIkzA,f
agniparvata,m
agnipAta,m
agnipAnIya,n
agnipucCa,n
agniputra,m
agnipurA,f
agnipurARa,n
agnipurogama,mfn
agnipraRayana,n
agnipraRayanIya,mfn
agnipratizWA,f
agnipradAna,n
agnipraBA,f
agnipraveSa,m
agnipraveSana,n
agniprastara,m
agniprAyaScitta,n
agniprAyaScitti,f
agnibAhu,m
agnibIja,n
agniBa,n
agniBARqa,n
agniBu,n
agniBU,m
agniBUti,m
agniBrAjas,mfn
agnimaRi,m
agnimat,mfn
agnimadana,n
agniman,m
agnimanTa,mfn
agnimanTa,m
agnimanTana,n
agnimanTanIya,mfn
agnimaya,mfn
agnimAWara,m
agnimAndya,n
agnimAruti,m
agnimitra,m
agniminDa,m
agnimIyAma,m
agnimuKa,mfn
agnimuKa,m
agnimuKI,f
agnimUQa,mfn
agniyuta,m
agniyojana,n
agniyOna,mfn
agnirakzaRa,n
agniraja,m
agnirajas,m
agnirahasya,n
agnirahasyakARqa,n
agnirAjan,mfn
agnirASi,m
agniruhA,f
agnirUpa,mfn
agnirUpa,n
agniretasa,mfn
agnirohiRI,f
agniloka,m
agnilocana,m
agnivat,mfn
agnivarcas,m
agnivarRa,mfn
agnivarRa,m
agnivarDaka,mfn
agnivarDana,mfn
agnivallaBa,m
agnivaha,mfn
agnivARa,m
agnivAdin,m
agnivArtta,mfn
agnivAsas,mfn
agnivAha,m
agniviDA,f
agnivimocana,n
agniviS,f
agnivisarpa,m
agniviharaRa,n
agnivIrya,n
agnivfdDi,f
agnivetAla,m
agnivelA,f
agniveSa,m
agniveSman,m
agniveSya,m
agniSakawI,f
agniSakti,f
agniSaraRa,n
agniSarman,m
agniSAla,n
agniSAlA,f
agniSiKa,mfn
agniSiKa,m
agniSiKa,n
agniSiKA,f
agniSuSrUzA,f
agniSeKara,n
agniSeza,m
agniSOcavastra,n
agniSrI,mfn
agniSroRi,f
agnizwut,m
agnizwoma,m
agnizwomayAjin,mfn
agnizwomasad,mfn
agnizwomasadya,n
agnizwomasAma,m
agnizwomasAman,n
agnizwomahotra,n
agnizWa,mfn
agnizWa,m
agnizWA,f
agnizWikA,f
agnizvAtta,m
agnisaMkASa,mfn
agnisaMcaya,m
agnisaMdIpana,mfn
agnisaMskAra,m
agnisaKa,m
agnisajjA,f
agnisamADAna,n
agnisamBava,mfn
agnisamBava,m
agnisaras,n
agnisava,m
agnisahAya,m
agnisAkzika,mfn
agnisAkzikamaryAda,mfn
agnisAda,m
agnisAra,n
agnisAvarRi,m
agnisiMha,m
agnisUtra,n
agnistamBa,m
agnistamBana,n
agnistoka,m
agnisTala,n
agnisparSa,mfn
agnihavana,n
agnihut,mfn
agnihuta,mfn
agnihotf,m
agnihotfbrAhmaRa,m
agnihotra,mfn
agnihotra,n
agnihotratva,n
agnihotradevatA,f
agnihotraprAyaRa,mfn
agnihotravelA,f
agnihotrasTAlI,f
agnihotrahavanI,f
agnihotrahut,mfn
agnihotrahoma,m
agnihotrAyaRin,mfn
agnihotrAvft,f
agnihotrAhuti,f
agnihotrin,mfn
agnihotrI,f
agnihotrIvatsa,m
agnihotrezwi,f
agnihotrocCizwa,n
agnihotrocCezaRa,n
agnihoma,m
agnihvara,mfn
agnID,m
agnIDra,m
agnIndrO,m
agnInDana,n
agnIparjanyO,m
agnIya,mfn
agnIvaruRO,m
agnIzomapraRayana,n
agnIzomA,m
agnIzomIya,mfn
agnIzomIyanirvApa,m
agnIzomIyapaSu,m
agnIzomIyapaSvanuzWAna,n
agnIzomIyapuroqASa,m
agnIzomIyayAga,m
agnIzomIyEkAdaSakapAla,m
agnIzomO,m
agneyAnI,f
agnOkaraRa,n
agnyagAra,m
agnyaBAva,m
agnyarci,m
agnyarcis,f
agnyAgAra,m
agnyAtmaka,mfn
agnyADAna,n
agnyADAnarUpa,n
agnyADAnaSarkarA,f
agnyADAnahavis,n
agnyADeya,n
agnyADeyadevatA,f
agnyAyatana,n
agnyAlaya,m
agnyAhita,m
agnyutpAta,m
agnyutsAdin,mfn
agnyudDaraRa,n
agnyupasTAna,n
agnyeDa,m
agman,n
agra,mfn
agra,n
agrakara,m
agrakAya,m
agraga,m
agragaRanA,f
agragaRya,mfn
agragAmin,mfn
agragrAsikA,f
agracCada,n
agraja,mfn
agraja,m
agrajaNGA,f
agrajanman,m
agrajA,f
agrajA,mfn
agrajAtaka,m
agrajAti,m
agrajihva,n
agrajyA,f
agraRI,mfn
agraRIti,f
agrataHsara,mfn
agratalasaMcAra,m
agratIrTa,m
agradAtf,mfn
agradAnin,m
agradiDizu,m
agradevI,f
agradravasaMhati,f
agraDarma,m
agranaKa,m
agranAsikA,f
agranirUpaRa,n
agraparRI,f
agrapA,mfn
agrapAka,m
agrapARi,m
agrapAda,m
agrapUjA,f
agrapeya,n
agrapradAyin,mfn
agrapraSIrRa,mfn
agrabIja,mfn
agrabIja,m
agraboDi,m
agraBaRa,mfn
agraBAga,m
agraBuj,mfn
agraBU,mfn
agraBUmi,f
agraBojya,mfn
agramahizI,f
agramAMsa,n
agrayAna,n
agrayAyin,mfn
agrayAyin,m
agrayAvan,mfn
agrayoDin,m
agralohitA,f
agravaktra,n
agravat,mfn
agraSiKa,mfn
agraSrAvaka,m
agrasaMKyA,f
agrasaMDAnI,f
agrasanDyA,f
agrasara,mfn
agrasAnu,m
agrasArA,f
agrasUcI,f
agrasena,m
agrasta,mfn
agraha,mfn
agraha,m
agrahaRa,n
agrahaRa,mfn
agrahasta,m
agrahAyaRa,m
agrahAra,m
agrA,f
agrAMSu,m
agrAkzan,n
agrAgra,mfn
agrANguli,m
agrAdvan,mfn
agrAnIka,n
agrAnta,m
agrAmya,mfn
agrAyaRIya,n
agrASana,mfn
agrAsana,n
agrAhin,mfn
agrAhya,mfn
agrAhyaka,mfn
agri,m
agrima,mfn
agrimavatI,f
agrimA,f
agriya,mfn
agriya,m
agriya,n
agriyavat,mfn
agriyavat,f
agrIya,mfn
agrIya,m
agru,m
agrU,f
agrega,mfn
agregA,mfn
agregU,mfn
agreRI,m
agretana,mfn
agretvan,mfn
agredaDizu,m
agredaDizu,f
agredaDus,m
agredaDus,f
agrediDizu,m
agrediDizu,f
agrepA,mfn
agrepU,mfn
agreBrU,m
agrevaRa,n
agrevaDa,m
agresara,mfn
agresarika,m
agropaharaRIya,mfn
agrya,mfn
agrya,m
agrya,n
agryatapas,m
agryA,f
aGa,mfn
aGa,m
aGa,n
aGakft,mfn
aGaGna,mfn
aGaGna,m
aGawamAna,mfn
aGawitaGawita,mfn
aGaRwa,m
aGadeva,m
aGana,mfn
aGanASaka,mfn
aGanAsaka,m
aGamarzaRa,mfn
aGamarzaRa,m
aGamAra,mfn
aGarikA,f
aGarud,mfn
aGarma,mfn
aGarmaDAman,m
aGala,mfn
aGavat,mfn
aGaviza,mfn
aGaSaMsa,mfn
aGaSaMsahan,m
aGaSaMsin,mfn
aGaharaRa,n
aGahAra,m
aGA,f
aGAta,m
aGAtin,mfn
aGAtuka,mfn
aGAyu,mfn
aGArin,mfn
aGASva,mfn
aGASva,m
aGAsaka,mfn
aGAsura,m
aGAhan,n
aGUrRa,mfn
aGfRa,mfn
aGfRin,mfn
aGodaka,n
aGora,mfn
aGora,m
aGoraGaRwa,m
aGoraGoratara,mfn
aGoraGorarUpa,m
aGoracakzus,mfn
aGorapaTin,m
aGorapramARa,n
aGoramArga,m
aGorA,f
aGoza,m
aGoza,mfn
aGOGamarzaRa,mfn
aGnat,mfn
aGnya,m
aGnyatva,n
aGnyA,f
aGreya,mfn
aNka,m
aNkakaraRa,n
aNkakAra,m
aNkagata,mfn
aNkacCeda,m
aNkatantra,n
aNkati,m
aNkaDAraRA,f
aNkana,n
aNkana,mfn
aNkaparivartana,n
aNkapAdavrata,n
aNkapAla,m
aNkapAli,f
aNkapAlikA,f
aNkapAlI,f
aNkapASa,m
aNkapASavyavahAra,m
aNkapASADyAya,m
aNkabanDa,m
aNkaBAj,mfn
aNkamuKa,n
aNkalakzaRa,n
aNkaloqya,m
aNkavidyA,f
aNkas,n
aNkasa,n
aNkasaMjYA,f
aNkANka,n
aNkAra,m
aNkAvaNka,n
aNkAvatAra,m
aNkAsya,n
aNkita,mfn
aNkin,mfn
aNkin,m
aNkinI,f
aNkI,f
aNkuwa,m
aNkuqaka,m
aNkupa,n
aNkura,m
aNkuraka,m
aNkuraRa,n
aNkuravat,mfn
aNkurAropaRa,n
aNkurArpaRa,n
aNkurita,mfn
aNkulI,f
aNkuSa,mn
aNkuSagraha,m
aNkuSadurDara,m
aNkuSA,f
aNkuSita,mfn
aNkuSin,mfn
aNkuSI,f
aNkUyat,mfn
aNkUra,m
aNkUza,mn
aNkowa,m
aNkoWa,m
aNkola,m
aNkolaka,m
aNkolikA,f
aNkolla,m
aNkollasAra,m
aNkya,mfn
aNkya,m
aNkri,m
aNga,n
aNga,m
aNga,mfn
aNgaka,n
aNgakartana,n
aNgakarman,n
aNgakazAya,m
aNgakriyA,f
aNgagraha,m
aNgaja,mfn
aNgaja,m
aNgaja,n
aNgajanus,m
aNgajA,f
aNgajAta,mfn
aNgajvara,mfn
aNgaRa,n
aNgatA,f
aNgati,m
aNgatva,n
aNgada,m
aNgada,n
aNgadA,f
aNgadin,mfn
aNgadIya,mfn
aNgadvIpa,m
aNgana,n
aNganA,f
aNganAgaRa,m
aNganAjana,m
aNganApriya,m
aNganyAsa,m
aNgapAli,f
aNgaprAyaScitta,n
aNgaBa,m
aNgaBaYjana,n
aNgaBU,m
aNgaBeda,mfn
aNgaBeda,m
aNgamantra,m
aNgamarda,m
aNgamardaka,m
aNgamardin,m
aNgamarza,m
aNgamarzapraSamana,n
aNgamejayatva,n
aNgayazwi,f
aNgayAga,m
aNgarakta,m
aNgarakzaRI,f
aNgarakziRI,f
aNgarAga,m
aNgarAj,m
aNgarAja,m
aNgarAjya,n
aNgaruha,mfn
aNgareja,mfn
aNgalipi,f
aNgaloka,m
aNgaloqya,m
aNgava,m
aNgavAkpARimat,mfn
aNgavAhaka,mfn
aNgavikfti,f
aNgavikzepa,m
aNgavidyA,f
aNgavEkfta,n
aNgas,n
aNgasaMskAra,m
aNgasaMskriyA,f
aNgasaMhati,f
aNgasaMhitA,f
aNgasaNga,m
aNgaskanDa,m
aNgasparSa,m
aNgasPuraRavicAra,m
aNgahAra,m
aNgahAri,m
aNgahIna,mfn
aNgahIna,m
aNgANgitA,f
aNgANgiBAva,m
aNgANgiBAvasaMkara,m
aNgADipa,m
aNgAnukUla,mfn
aNgAnulepana,n
aNgApUrva,n
aNgAra,m
aNgAraka,m
aNgAraka,n
aNgArakadina,m
aNgArakamaRi,m
aNgArakayantra,n
aNgArakarmAnta,m
aNgArakavAra,m
aNgArakArin,m
aNgArakita,mfn
aNgArakuzWaka,m
aNgArakft,m
aNgArajIvikA,f
aNgAraDAnikA,f
aNgAraDAnI,f
aNgAraparipAcita,n
aNgAraparRa,m
aNgAraparRI,f
aNgArapAtrI,f
aNgArapuzpa,m
aNgAramaYjarI,f
aNgAramaYjI,f
aNgAravarza,n
aNgAravallarI,f
aNgAravallI,f
aNgAravAra,m
aNgAraSakawi,f
aNgAraSakawI,f
aNgArasetu,m
aNgArAvakzayaRa,n
aNgArAvakzepaRa,n
aNgAri,f
aNgArikA,f
aNgArita,mfn
aNgArita,n
aNgAritA,f
aNgArin,mfn
aNgArIya,mfn
aNgAryA,f
aNgikA,f
aNgin,mfn
aNgir,m
aNgira,m
aNgiraHsmfti,f
aNgiras,m
aNgirasa,m
aNgirasAmayana,n
aNgirastama,mfn
aNgirasvat,mfn
aNgiroDAman,mfn
aNgIkaraRa,n
aNgIkAra,m
aNgIkfta,mfn
aNgIkfti,f
aNgIya,mfn
aNgu,m
aNguri,f
aNgurI,f
aNgurIya,mn
aNgurIyaka,mn
aNgula,m
aNgulapramARa,n
aNgulapramARa,mfn
aNgulamAna,n
aNgulamAna,mfn
aNgularAji,m
aNguli,f
aNgulikA,f
aNgulija,m
aNgulitoraRa,n
aNgulitra,n
aNgulitravat,mfn
aNgulitrARa,n
aNgulipraRejana,n
aNguliprASana,n
aNgulimAtra,mfn
aNgulimuKa,n
aNgulimudrA,f
aNgulimudrikA,f
aNgulimowana,n
aNgulivezwaka,m
aNgulivezwana,n
aNgulizaNga,m
aNgulizaNga,mfn
aNgulisaMdeSa,m
aNgulisPowana,n
aNgulI,f
aNgulIgranTi,m
aNgulIpaYcaka,n
aNgulIparvan,n
aNgulIBaNga,m
aNgulImuKa,n
aNgulIya,n
aNgulIyaka,n
aNgulIvezwa,m
aNgulIsamBUta,m
aNgulyagra,n
aNguzWa,m
aNguzWamAtra,mfn
aNguzWamAtraka,mfn
aNguzWaviBedaka,m
aNguzWikA,f
aNguzWya,m
aNgUza,m
aNgeSvara,m
aNgezWA,mfn
aNgoYCa,m
aNgoYCana,n
aNgozin,mfn
aNgya,mfn
aNGas,n
aNGAri,m
aNGri,m
aNGrinAmaka,m
aNGrinAman,n
aNGripa,m
aNGriparRI,f
aNGripAta,m
aNGripAna,mfn
aNGrivalli,f
aNGrivallikA,f
aNGrisaMDi,m
aNGriskanDa,m
aNGryavanejana,mfn
aNGryavanejanatva,n
