prefixed_root,unprefixed_root,hom
niras,as,2
nirAkf,kf,1
nirAkram,kram,
nirAcakz,cakz,
nirAyam,yam,
nirAvah,vah,
nirAviS,viS,
niri,i,
nirI,rI,
nirIkz,Ikz,
nirukz,ukz,
niruD,ruD,
nirubj,ubj,
nirUp,rUp,
nirUh,Uh,1
nirfC,fC,
nirfj,fj,
nire,i,
nirgam,gam,
nirGfz,Gfz,
nirji,ji,
nirRam,nam,
nirRij,nij,
nirRI,nI,
nirRud,nud,
nirdaMS,daMS,
nirdah,dah,
nirdiS,diS,
nirduh,duh,
nirdru,dru,
nirDam,Dam,
nirDA,DA,
nirDAv,DAv,1
nirDU,DU,
nirbanD,banD,
nirbAD,bAD,
nirbrU,brU,
nirBaj,Baj,
nirBaYj,BaYj,
nirBarts,Barts,
nirBA,BA,
nirBid,Bid,
nirBuj,Buj,1
nirmajj,majj,
nirmaT,maT,
nirmanT,manT,
nirmA,mA,
nirmi,mi,
nirmuc,muc,
nirmfj,mfj,
niryA,yA,
niryAc,yAc,
niryu,yu,3
nirliK,liK,
nirlih,lih,
nirlup,lup,
nirvaYc,vaYc,
nirvad,vad,
nirvap,vap,
nirvam,vam,
nirvarR,varR,
nirvas,vas,5
nirvah,vah,
nirvA,vA,
nirvid,vid,3
nirvivah,vah,
nirviS,viS,
nirvf,vf,2
nirvft,vft,
nirvE,vE,
nirvyaD,vyaD,
nirvraj,vraj,
nirvlI,vlI,
nirhan,han,
nirhA,hA,2
nirhf,hf,
nirhras,hras,
nirhve,hve,
nilip,lip,
nilI,lI,
nivad,vad,
nivap,vap,2
nivas,vas,4
nivas,vas,5
nivah,vah,
niviS,viS,
nivfj,vfj,
nivft,vft,
nivyaD,vyaD,
nivraSc,vraSc,
niSam,Sam,
niSAs,SAs,
niSi,Si,
niSuc,Suc,
niSuB,SuB,
niSumB,SumB,
niSo,So,
niScar,car,
niSci,ci,2
niScut,Scut,
niSri,Sri,
niSvas,Svas,
nizac,sac,
nizaYj,saYj,
nizad,sad,
nizah,sah,
nizic,sic,
niziD,siD,
niziv,siv,
nizUd,sUd,
nizev,sev,
nizo,so,
nizkuz,kuz,
nizkf,kf,1
nizkft,kft,
nizkfz,kfz,
nizkram,kram,
nizkrI,krI,
nizKan,Kan,
nizKid,Kid,
nizwap,tap,
nizwu,stu,
nizwyE,styE,
nizWA,sTA,
nizWiv,zWiv,
nizRA,snA,
nizpat,pat,
nizpad,pad,
nizpalAy,ay,
nizpA,pA,1
nizpA,pA,3
nizpiS,piS,
nizpiz,piz,
nizpIq,pIq,
nizpU,pU,
nizpf,pf,
nizvaYj,svaYj,
nistakz,takz,
nistud,tud,
nistF,tF,
nispfS,spfS,
nisyand,syand,
nisru,sru,
nisvan,svan,
nihan,han,
nihA,hA,2
nihf,hf,
nihfz,hfz,
nihnu,hnu,
nihve,hve,
nIrAj,rAj,
nIrI,rI,
nIruc,ruc,
nyaYc,aYc,
nyaYj,aYj,
nyavacar,car,
nyavasfj,sfj,
nyavekz,Ikz,
nyas,as,
nyADf,Df,
nyAvyaD,vyaD,
nyAsad,sad,
nyuc,uc,
nyud,ud,
nyubj,ubj,
nyuB,uB,
nyuz,uz,
nyUh,Uh,
nyUh,Uh,
nyf,f,
nyfYj,fYj,
nyfz,fz,
nye,i,
nyej,ej,
padmakoSa,kf,
parAkf,kf,
parAkram,kram,
parAkzip,kzip,
parAgam,gam,
parAcar,car,
parAji,ji,
parAR,an,
parARI,nI,
parARud,nud,
parAdA,dA,1
parAdru,dru,
parADAv,DAv,1
parADmA,DmA,
parApat,pat,
parApaS,paS,
parApU,pU,
parABU,BU,
parAmfS,mfS,
parAyA,yA,
parAvac,vac,
parAvad,vad,
parAvap,vap,2
parAvam,vam,
parAvalg,valg,
parAvah,vah,
parAvA,vA,2
parAvfj,vfj,
parAvft,vft,
parAvyaD,vyaD,
parASF,SF,
parAs,as,
parAsic,sic,
parAsU,sU,
parAsf,sf,
parAsfj,sfj,
parAstamB,stamB,
parAhan,han,
parAhA,hA,2
parikaT,kaT,
parikal,kal,2
parikal,kal,3
parikIrt,kIrt,
parikup,kup,
parikf,kf,1
parikft,kft,2
parikft,kft,3
parikfz,kfz,
parikF,kF,1
parikram,kram,
parikrI,krI,
parikrIq,krIq,
parikruD,kruD,
parikruS,kruS,
pariklam,klam,
parikliS,kliS,
parikvaT,kvaT,
parikzar,kzar,
parikzal,kzal,2
parikzi,kzi,4
parikzi,kzi,2
parikzip,kzip,
pariKid,Kid,
pariKyA,KyA,
parigaR,gaR,
parigam,gam,
parigarj,garj,
parigarh,garh,
parigA,gA,
parigE,gE,
parigras,gras,
parigrah,grah,
pariGaw,Gaw,
pariGaww,Gaww,
pariGUrR,GUrR,
pariGfz,Gfz,
pariGrA,GrA,
paricakz,cakz,
paricar,car,
parici,ci,1
parici,ci,2
paricint,cint,
paricumb,cumb,
paricft,cft,
paricCad,Cad,
paricCid,Cid,
parijalp,jalp,
pariji,ji,
parijfmB,jfmB,
parijF,jF,1
parijYA,jYA,
parijval,jval,
pariRad,nad,
pariRam,nam,
pariRaS,naS,
pariRah,nah,
pariRiDA,DA,
pariRihan,han,
pariRI,nI,
pariRud,nud,
paritaq,taq,
paritan,tan,
paritap,tap,
paritam,tam,
paritark,tark,
paritud,tud,
parituz,tuz,
paritfd,tfd,
parityaj,tyaj,
paritrE,trE,
paridah,dah,
paridA,dA,1
paridiv,div,1
paridIp,dIp,
paridu,du,2
paridfS,dfS,
paridF,dF,
paridru,dru,
pariDA,DA,1
pariDAv,DAv,
pariDU,DU,
pariDf,Df,
pariDfz,Dfz,
pariniHstan,stan,
parinind,nind,
parinirRij,nij,
parinirluW,luW,2
parinirvA,vA,2
parinivft,vft,
parinizad,sad,
parinizic,sic,
parinizev,sev,
parinizWA,sTA,
parinizpad,pad,
parinft,nft,
paripac,pac,
paripaW,paW,
paripat,pat,
paripaS,paS,
paripA,pA,1
paripA,pA,3
paripIq,pIq,
paripU,pU,
paripUj,pUj,
paripragrah,grah,
paripraC,praC,
paripraRI,nI,
paripraT,praT,
paripramuc,muc,
pariprasyand,syand,
pariprAp,Ap,
pariprez,iz,
pariplu,plu,
paribanD,banD,
paribAD,bAD,
paribfMh,bfMh,
paribrU,brU,
pariBakz,Bakz,
pariBarts,Barts,
pariBAz,BAz,
pariBAs,BAs,
pariBuj,Buj,1
pariBuj,Buj,3
pariBU,BU,
pariBUz,BUz,
pariBf,Bf,
pariBraMS,BraMS,
pariBram,Bram,
parimA,mA,
parimArg,mArg,
parimi,mi,1
parimuc,muc,
parimuz,muz,
parimuh,muh,
parimf,mf,
parimfg,mfg,
parimfj,mfj,
parimfd,mfd,
parimfS,mfS,
parimfz,mfz,
parimokz,mokz,
parimlE,mlE,
pariyaj,yaj,
pariyat,yat,
pariyam,yam,
pariyA,yA,
parirakz,rakz,
pariraB,raB,
pariram,ram,
parirAj,rAj,
paririh,rih,
pariruc,ruc,
pariruj,ruj,
parilaNG,laNG,
parilaB,laB,
parilamb,lamb,
parilaz,laz,
pariliK,liK,
parilip,lip,
parilih,lih,
pariluW,luW,2
parilup,lup,
pariluB,luB,
parilok,lok,
parivaYc,vaYc,
parivad,vad,
parivand,vand,
parivap,vap,1
parivap,vap,2
parivas,vas,4
parivas,vas,5
parivas,vas,3
parivah,vah,
parivAS,vAS,
parivicar,car,
parivid,vid,3
pariviDAv,DAv,
pariviS,viS,
pariviz,viz,
parivIj,vIj,
parivf,vf,1
parivf,vf,2
parivfj,vfj,
parivft,vft,
parivfD,vfD,
parivfz,vfz,
parive,ve,
parivyaD,vyaD,
parivye,vye,
parivraj,vraj,
parivraSc,vraSc,
pariSaNk,SaNk,
pariSap,Sap,
pariSiz,Siz,
pariSI,SI,
pariSIl,SIl,
pariSuc,Suc,
pariSuD,SuD,
pariSuB,SuB,
pariSuz,Suz,
pariSri,Sri,
pariSru,Sru,
parizaYj,saYj,
parizad,sad,
parizah,sah,
parizic,sic,
pariziD,siD,
pariziv,siv,
parizu,zu,3
parizU,sU,
parizev,sev,
parizo,so,
parizkand,skand,
parizkf,kf,
parizwamB,stamB,
parizwu,stu,
parizwuB,stuB,
parizWA,sTA,
parizvaj,svaj,
parizvan,svan,
parisaMkrIq,krIq,
parisaMkzip,kzip,
parisaMKyA,KyA,
parisaMlih,lih,
parisaMvad,vad,
parisaMspfS,spfS,
parisamUh,Uh,1
parisame,i,
parisf,sf,
parisfp,sfp,
parisKal,sKal,
paristf,stf,
parispand,spand,
parispfS,spfS,
parisPuw,sPuw,
parisPur,sPur,
parisru,sru,
parihan,han,
parihas,has,
parihA,hA,3
parihi,hi,
parihiRq,hiRq,
parihf,hf,
parI,i,
parIkz,Ikz,
parItat,tan,
parIS,IS,
parIz,iz,
pare,i,
parekz,Ikz,
paryaNK,aNK,
paryaYc,aYc,
paryaw,aw,
paryan,an,
paryanviz,iz,3
paryavakF,kF,
paryavacCid,Cid,
paryavado,do,
paryavanud,nud,
paryavazwamB,stamB,
paryavasfp,sfp,
paryavaso,so,
paryavasTA,sTA,
paryavAp,Ap,
paryave,i,
paryavekz,Ikz,
paryaS,aS,1
paryaS,aS,2
paryas,as,1
paryas,as,2
paryAkzip,kzip,
paryAgam,gam,
paryAgal,gal,
paryAcar,car,
paryARah,nah,
paryARI,nI,
paryAtan,tan,
paryAdA,dA,
paryAdru,dru,
paryADA,DA,
paryAp,Ap,
paryApat,pat,
paryABf,Bf,
paryAmuc,muc,
paryAmfS,mfS,
paryAruh,ruh,
paryAvap,vap,2
paryAvft,vft,
paryASvas,Svas,
paryAs,As,
paryAhf,hf,
paryAhve,hve,
paryukz,ukz,
paryutTA,sTA,
paryutsfj,sfj,
paryudas,as,2
paryupalip,lip,
paryupaviS,viS,
paryupasTA,sTA,
paryupahve,hve,
paryupAs,As,
paryUrRu,UrRu,
paryUh,Uh,1
paryfz,fz,1
paryfz,fz,2
parye,i,
palyaNg,aNg,
palyay,ay,
piDA,DA,
pinah,nah,
pinI,nI,
puraskf,kf,
puroDA,DA,
prakaT,kaT,
prakamp,kamp,
prakal,kal,2
prakANkz,kANkz,
prakAS,kAS,
prakASIkf,kf,
prakIrt,kIrt,
prakup,kup,
prakUj,kUj,
prakUrd,kUrd,
prakf,kf,1
prakft,kft,2
prakfz,kfz,
prakF,kF,1
prakxp,kxp,
prakram,kram,
prakrIq,krIq,
prakruS,kruS,
praklid,klid,
prakvaR,kvaR,
prakzar,kzar,
prakzal,kzal,
prakzi,kzi,
prakzip,kzip,
prakzud,kzud,
prakzuB,kzuB,
prakzE,kzE,
prakzRu,kzRu,
praKAd,KAd,
praKud,Kud,
praKyA,KyA,
pragaR,gaR,
pragam,gam,
pragarj,garj,
pragalB,galB,
pragA,gA,
pragAh,gAh,
pragF,gF,1
pragE,gE,
pragraT,graT,
pragras,gras,
pragrah,grah,
praglE,glE,
praGaw,Gaw,
praGAtaya,GAtaya,
praGf,Gf,
praGfz,Gfz,
pracakz,cakz,
pracat,cat,
pracar,car,
pracal,cal,
praci,ci,1
pracit,cit,
pracint,cint,
pracud,cud,
pracUrR,cUrR,
pracft,cft,
pracCad,Cad,
pracCid,Cid,
pracCuq,Cuq,
pracCfd,Cfd,
pracCo,Co,
pracyu,cyu,
prajan,jan,
prajap,jap,
prajalp,jalp,
prajAgf,jAgf,
praji,ji,
prajinv,jinv,
prajU,jU,
prajfmB,jfmB,
prajF,jF,
prajYA,jYA,
prajval,jval,
praRad,nad,
praRaB,naB,
praRam,nam,
praRaS,naS,
praRaS,naS,
praRikz,nikz,
praRigad,gad,
praRij,nij,
praRijYA,jYA,
praRiDA,DA,
praRind,nind,
praRipat,pat,
praRihan,han,
praRI,nI,
praRu,nu,
praRud,nud,
pratakz,takz,
prataq,taq,
pratan,tan,
pratap,tap,
pratam,tam,
pratark,tark,
pratikANkz,kANkz,
pratikUj,kUj,
pratikf,kf,
pratikF,kF,
pratikxp,kxp,
pratikram,kram,
pratikruD,kruD,
pratikzip,kzip,
pratiKyA,KyA,
pratigad,gad,
pratigam,gam,
pratigarj,garj,
pratigAh,gAh,
pratigfD,gfD,
pratigF,gF,
pratigrah,grah,
praticakz,cakz,
praticar,car,
praticikIrz,kf,
praticint,cint,
praticCad,Cad,
praticCid,Cid,
pratijan,jan,
pratijap,jap,
pratijalp,jalp,
pratijAgf,jAgf,
pratiji,ji,
pratijuz,juz,
pratijf,jf,
pratijYA,jYA,
pratijval,jval,
pratitaq,taq,
pratitap,tap,
pratidah,dah,
pratidA,dA,
pratidiv,div,2
pratiduh,duh,
pratidfS,dfS,
pratiDA,DA,
pratiDAv,DAv,
pratiDf,Df,
pratinad,nad,
pratinand,nand,
pratinard,nard,
pratiniHsfj,sfj,
pratinikzip,kzip,
pratinigad,gad,
pratinigrah,grah,
pratiniDA,DA,
pratinind,nind,
pratiniras,as,
pratiniryA,yA,
pratinirvap,vap,
pratinivft,vft,
pratinizpU,pU,
pratinistF,tF,
pratinI,nI,
pratinu,nu,
pratinud,nud,
pratinft,nft,
pratinyAgam,gam,
pratipat,pat,
pratipad,pad,
pratiparARI,nI,
pratiparAhf,hf,
pratiparI,i,
pratipare,i,
pratiparyAvft,vft,
pratiparyAhf,hf,
pratipaS,paS,
pratipAl,pAl,
pratipiz,piz,
pratipIq,pIq,
pratipIy,pIy,
pratipUj,pUj,
pratipF,pF,
pratipragrah,grah,
pratipraC,praC,
pratiprajYA,jYA,
pratipradA,dA,
pratiprabrU,brU,
pratipramuc,muc,
pratiprayam,yam,
pratiprayA,yA,
pratiprayuj,yuj,
pratipraviS,viS,
pratiprasU,sU,
pratiprasfp,sfp,
pratiprahi,hi,
pratiprAyA,yA,
pratiprAs,as,
pratiPal,Pal,
pratibanD,banD,
pratibAD,bAD,
pratibuD,buD,
pratibrU,brU,
pratiBakz,Bakz,
pratiBaj,Baj,
pratiBaYj,BaYj,
pratiBaR,BaR,
pratiBA,BA,
pratiBAz,BAz,
pratiBAs,BAs,
pratiBid,Bid,
pratiBuj,Buj,
pratiBU,BU,
pratiBUz,BUz,
pratiBf,Bf,
pratiman,man,
pratimantr,mantr,
pratimA,mA,
pratimih,mih,
pratimIv,mIv,
pratimuc,muc,
pratimud,mud,
pratiyaj,yaj,
pratiyat,yat,
pratiyam,yam,
pratiyA,yA,
pratiyu,yu,
pratiyuj,yuj,
pratiyuD,yuD,
pratirakz,rakz,
pratirap,rap,
pratiram,ram,
pratiras,ras,
pratirAj,rAj,
pratirih,rih,
pratiru,ru,
pratiruc,ruc,
pratiruD,ruD,
pratiruh,ruh,
pratil,til,
pratilaB,laB,
pratiliK,liK,
prativac,vac,
prativad,vad,
prativap,vap,
prativas,vas,
prativas,vas,
prativah,vah,
prativAS,vAS,
prativijYA,jYA,
prativid,vid,
prativid,vid,
prativiDA,DA,
prativinud,nud,
prativiparI,i,
prativibuD,buD,
prativiram,ram,
prativisfj,sfj,
prativihA,hA,
prativI,vI,
prativIkz,Ikz,
prativf,vf,
prativfj,vfj,
prativft,vft,
prativfz,vfz,
prativezw,vezw,
prativyaD,vyaD,
prativyUh,vyUh,
prativraj,vraj,
pratiSaMs,SaMs,
pratiSaNk,SaNk,
pratiSap,Sap,
pratiSuc,Suc,
pratiSuz,Suz,
pratiSF,SF,
pratiSru,Sru,
pratizaYj,saYj,
pratizic,sic,
pratiziD,siD,
pratiziv,siv,
pratizkaB,skaB,
pratizku,sku,
pratizwuB,stuB,
pratizWA,sTA,
pratizWiv,zWiv,
pratizvad,svad,
pratisaMkram,kram,
pratisaMgrah,grah,
pratisaMcar,car,
pratisaMjYA,jYA,
pratisaMdiS,diS,
pratisaMDA,DA,
pratisaMyat,yat,
pratisaMraB,raB,
pratisaMvad,vad,
pratisaMvid,vid,
pratisaMvezw,vezw,
pratisaMSri,Sri,
pratisaMsfj,sfj,
pratisaMskf,skf,
pratisaMsmf,smf,
pratisaMhf,hf,
pratisaMhfz,hfz,
pratisac,sac,
pratisad,sad,
pratisamas,as,
pratisamAdiS,diS,
pratisamADA,DA,
pratisamAs,As,
pratisaminD,inD,
pratisamIkz,Ikz,
pratisamBU,BU,
pratisah,sah,
pratisf,sf,
pratisfj,sfj,
pratisfp,sfp,
pratisev,sev,
pratiskF,kF,
pratistamB,stamB,
pratisparD,sparD,
pratisPur,sPur,
pratismf,smf,
pratisvan,svan,
pratihan,han,
pratihary,hary,
pratihA,hA,
pratihu,hu,
pratihf,hf,
pratihfz,hfz,
pratihez,hez,
pratihve,hve,
pratI,i,
pratIkz,Ikz,
pratIq,Iq,
pratInv,inv,
pratIr,Ir,
pratIz,iz,
pratud,tud,
pratuz,tuz,
pratF,tF,
pratyakzavizayIBU,BU,
pratyaYj,aYj,
pratyad,ad,
pratyaDiSri,Sri,
pratyaDI,i,
pratyanujYA,jYA,
pratyanunI,nI,
pratyanuBU,BU,
pratyanuyAc,yAc,
pratyanusmf,smf,
pratyapayA,yA,
pratyapavah,vah,
pratyaporRu,UrRu,
pratyaBicar,car,
pratyaBijYA,jYA,
pratyaBiDA,DA,1
pratyaBiDAv,DAv,1
pratyaBinand,nand,
pratyaBiprasTA,sTA,
pratyaBimiT,miT,
pratyaBimfS,mfS,
pratyaBiyA,yA,
pratyaBiyuj,yuj,
pratyaBivad,vad,
pratyarc,arc,
pratyarT,arT,
pratyavagam,gam,
pratyavagrah,grah,
pratyavatF,tF,
pratyavado,do,
pratyavaDA,DA,1
pratyavaBAz,BAz,
pratyavaBuj,Buj,1
pratyavamfS,mfS,
pratyavamfz,mfz,
pratyavaruh,ruh,
pratyavasad,sad,
pratyavasfj,sfj,
pratyavasfp,sfp,
pratyavaso,so,
pratyavasTA,sTA,
pratyavahan,han,
pratyavAp,Ap,
pratyave,i,
pratyavekz,Ikz,
pratyas,as,1
pratyas,as,2
pratyAkANkz,kANkz,
pratyAkfz,kfz,
pratyAkram,kram,
pratyAkruS,kruS,
pratyAKyA,KyA,
pratyAgam,gam,
pratyAgF,gF,
pratyAcakz,cakz,
pratyAjan,jan,
pratyAtan,tan,
pratyAdA,dA,
pratyAdiS,diS,
pratyAdf,df,
pratyAdru,dru,
pratyAnah,nah,
pratyAnI,nI,
pratyAbrU,brU,
pratyABU,BU,
pratyAyA,yA,
pratyAlaB,laB,
pratyAliNg,liNg,
pratyAlI,lI,
pratyAvap,vap,2
pratyAvft,vft,
pratyAvraj,vraj,
pratyASaMs,SaMs,
pratyASI,SI,
pratyASvas,Svas,
pratyAs,As,
pratyAsad,sad,
pratyAsev,sev,
pratyAsTA,sTA,
pratyAhan,han,
pratyAhf,hf,
pratyAhve,hve,
pratyukz,ukz,
pratyuccar,car,
pratyucCri,Sri,
pratyujjIv,jIv,
pratyuttamB,stamB,
pratyutTA,sTA,
pratyutpA,pA,5
pratyutsad,sad,
pratyudAvraj,vraj,
pratyudAhf,hf,
pratyudi,i,
pratyudIkz,Ikz,
pratyudgam,gam,
pratyudgrah,grah,
pratyuddIp,dIp,
pratyudyam,yam,
pratyudyA,yA,
pratyudvraj,vraj,
pratyunmiz,miz,
pratyupakf,kf,
pratyupakram,kram,
pratyupagam,gam,
pratyupadiS,diS,
pratyupadru,dru,
pratyupaDA,DA,1
pratyupaBuj,Buj,2
pratyupayA,yA,
pratyupaviS,viS,
pratyupavraj,vraj,
pratyupasf,sf,
pratyupasTA,sTA,
pratyupaspfS,spfS,
pratyupahve,hve,
pratyupADA,DA,1
pratyupAhf,hf,
pratyupe,i,
pratyuz,uz,
pratyUh,Uh,
pratye,i,
pratyez,Iz,
pratras,tras,
pratvakz,tvakz,
pratvar,tvar,
pradakziRIkf,kf,
pradas,das,
pradah,dah,
pradA,dA,1
pradiS,diS,
pradih,dih,
pradIp,dIp,
pradu,du,2
praduz,duz,
pradF,dF,
pradyut,dyut,1
pradru,dru,
pradrek,drek,
pradviz,dviz,
praDA,DA,1
praDAv,DAv,1
praDAv,DAv,2
praDU,DU,
praDf,Df,
praDfz,Dfz,
praDmA,DmA,
praDyE,DyE,
praDraj,Draj,
praDvaMs,DvaMs,
praDvan,Dvan,
pranakz,nakz,
pranaB,naB,
pranard,nard,
praniBid,Bid,
pranirakz,rakz,
pranft,nft,
prapac,pac,2
prapaW,paW,
prapat,pat,
prapad,pad,2
prapaS,paS,
prapA,pA,1
prapA,pA,3
prapinv,pinv,
prapiz,piz,
prapIq,pIq,
prapuz,puz,
prapUj,pUj,
prapfc,pfc,
prapF,pF,
prapyE,pyE,
praprajan,jan,
praprapF,pF,
praprarz,fz,
prapravI,vI,
praprasTA,sTA,
praprAs,as,
prapruT,pruT,
prapre,i,
praplu,plu,
prabanD,banD,
prabalIBU,BU,
prabAD,bAD,
prabuD,buD,
prabrU,brU,
praBaj,Baj,
praBaYj,BaYj,
praBA,BA,1
praBAz,BAz,
praBAs,BAs,
praBid,Bid,
praBU,BU,
praBUz,BUz,
praBf,Bf,
praBraMS,BraMS,
praBram,Bram,
praBrAj,BrAj,
pramajj,majj,
pramaT,maT,
pramad,mad,
praman,man,
pramanT,maT,
pramand,mand,
pramA,mA,
prami,mi,1
pramid,mid,
pramih,mih,
pramI,mI,
pramIl,mIl,
pramIv,mIv,
pramuc,muc,
pramud,mud,
pramurC,murC,
pramuz,muz,
pramuh,muh,
pramf,mf,
pramfj,mfj,
pramfR,mfR,
pramfd,mfd,
pramfS,mfS,
pramF,mF,
pramlAnIBU,BU,
pramluc,mluc,
pramlE,mlE,
prayakz,yakz,
prayaj,yaj,
prayat,yat,
prayaB,yaB,
prayam,yam,
prayas,yas,
prayA,yA,
prayAc,yAc,
prayu,yu,2
prayuC,yuC,
prayuj,yuj,
prayuD,yuD,
prarakz,rakz,
prarad,rad,
prarap,rap,
prarapS,rapS,
praram,ram,
praric,ric,
prarI,rI,
praru,ru,
praruc,ruc,
praruj,ruj,
prarud,rud,
praruD,ruD,
praruh,ruh,
prarUp,rUp,
prarej,rej,
pralap,lap,
pralaB,laB,
pralamb,lamb,
praliK,liK,
pralip,lip,
pralih,lih,
pralI,lI,
praluW,luW,
pralup,lup,
praluB,luB,
pralU,lU,
pravac,vac,
pravad,vad,
pravan,van,
pravap,vap,1
pravap,vap,2
pravarR,varR,
pravalg,valg,
pravalh,valh,
pravas,vas,4
pravas,vas,5
pravah,vah,
pravA,vA,
pravAS,vAS,
pravAh,vAh,
pravikas,kas,
pravikF,kF,
pravigal,gal,
pravigAh,gAh,
praviGaw,Gaw,
pravicakz,cakz,
pravicar,car,
pravical,cal,
pravici,ci,2
pravicint,cint,
pravicezw,cezw,
pravij,vij,
pravijfmB,jfmB,
pravijYA,jYA,
pravid,vid,1
pravid,vid,3
praviduh,duh,
praviDA,DA,1
pravinaS,naS,2
praviBaj,Baj,
praviBuj,Buj,1
pravimuc,muc,
pravilaB,laB,
pravilamb,lamb,
pravilas,las,
pravilI,lI,
pravilok,lok,
praviS,viS,
praviSiz,Siz,
pravistf,stf,
pravihA,hA,3
pravI,vI,
pravf,vf,1
pravf,vf,2
pravfj,vfj,
pravft,vft,
pravfD,vfD,
pravfz,vfz,
pravfh,vfh,
prave,ve,
pravep,vep,
pravyaT,vyaT,
pravyaD,vyaD,
pravyas,as,2
pravyAhf,hf,
pravraj,vraj,
pravraSc,vraSc,
pravlI,vlI,
praSaMs,SaMs,
praSak,Sak,
praSam,Sam,
praSAs,SAs,
praSI,SI,
praSuc,Suc,
praSuB,SuB,
praSuz,Suz,
praSF,SF,
praScut,Scut,
praSri,Sri,
praSru,Sru,
praSvas,Svas,
prazWiv,zWiv,
prasaMKyA,KyA,
prasaMcakz,cakz,
prasaMDA,DA,
prasac,sac,
prasaYj,saYj,
prasad,sad,
prasan,san,
prasamIkz,Ikz,
prasah,sah,
prasi,si,1
prasic,sic,
prasiD,siD,2
prasiD,siD,3
prasiv,siv,
prasU,sU,1
prasU,sU,2
prasUc,sUc,
prasf,sf,
prasfj,sfj,
prasfp,sfp,
praskand,skand,
prasKal,sKal,
prastu,stu,
prastuB,stuB,
prastump,tump,
prastf,stf,
prasTA,sTA,
prasnA,snA,
prasnu,snu,
praspand,spand,
prasparD,sparD,
prasPuw,sPuw,
prasPur,sPur,
prasmi,smi,
prasmf,smf,
prasyand,syand,
prasraMs,sraMs,
prasru,sru,
prasvap,svap,
prasvid,svid,
prasvf,svf,
prahan,han,
prahas,has,
prahA,hA,2
prahA,hA,3
prahi,hi,
prahu,hu,
prahf,hf,
prahfz,hfz,
prahlAd,hlAd,
prahval,hval,
prahve,hve,
prAkf,kf,
prAR,an,
prAd,ad,
prAdA,dA,
prAdru,dru,
prADI,i,
prAn,an,
prAp,Ap,
prABiRI,nI,
prAyA,yA,
prAyuD,yuD,
prAr,f,
prAraB,raB,
prAruh,ruh,
prArc,arc,
prArC,fC,
prArj,fj,
prArYj,fYj,
prArT,arT,
prArd,ard,
prArD,fD,
prArz,fz,
prArh,arh,
prAv,av,
prAvanij,nij,
prAvaso,so,
prAviS,viS,
prAvf,vf,
prAS,aS,
prAS,aS,
prASvas,Svas,
prAs,as,
prAs,as,
prAh,ah,
priyAkf,kf,
priyAmuKIBU,BU,
pre,i,
prekz,Ikz,
preNK,INK,
preq,Iq,
prenv,inv,
premarASIBU,BU,
prer,Ir,
prez,iz,
prED,eD,
prokz,ukz,
proccar,car,
proccal,cal,
procCal,Sal,
procCvas,Svas,
projjval,jval,
projJ,ujJ,
proYC,uYC,
proqqI,qI,
protkUj,kUj,
protKan,Kan,
protKE,KE,
prottF,tF,
protTA,sTA,
protpat,pat,
protpad,pad,
protsad,sad,
protsah,sah,
protsf,sf,
protsfj,sfj,
protsfp,sfp,
prodi,i,
prodDA,hA,
prodDf,hf,
prodyam,yam,
prodvah,vah,
prodvij,vij,
pronnad,nad,
pronnam,nam,
pronnI,nI,
pronmaT,maT,
pronmad,mad,
pronmIl,mIl,
proB,uB,
prorRu,UrRu,
prollaNG,laNG,
prollas,las,
prolliK,liK,
proh,Uh,
prOQIBU,BU,
PalIkf,kf,
PalIBU,BU,
Putkf,kf,
baDirIkf,kf,
bahalIBU,BU,
bahulIBU,BU,
bIjAkf,kf,
brAhmaRIBU,BU,
BadrAkf,kf,
BasmAkf,kf,
BasmIkf,kf,
BasmIBU,BU,
BAgIkf,kf,
BAvayatIBU,BU,
BImaBavIBU,BU,
BftyIBU,BU,
BfSIBU,BU,
maYjarIkf,kf,
matIkf,kf,
madBU,BU,
madrAkf,kf,
manIkf,kf,
manujIkf,kf,
mantravaSIkf,kf,
mandIkf,kf,
mandIBU,BU,
mayUrIBU,BU,
marUBU,BU,
martyIBU,BU,
maryAdIkf,kf,
malinIkf,kf,
malinIBU,BU,
mazmazAkf,kf,
mahIkf,kf,
mAYjizWIkf,kf,
mAtrIkf,kf,
mAnuzIBU,BU,
mArdavIkf,kf,
mAsIkf,kf,
mitrIkf,kf,
mitrIBU,BU,
miTunIkf,kf,
miTunIBU,BU,
miSrIkf,kf,
miSrIBU,BU,
mukulIkf,kf,
muKarIkf,kf,1
muYjIkf,kf,
muzwIkf,kf,
musalIBU,BU,
mUkIkf,kf,
mUrKIBU,BU,
mUlIkf,kf,
mfdUas,as,
mfdUBU,BU,
meKalIkf,kf,1
moGIkf,kf,
yAnIkf,kf,
yUTIkf,kf,1
yUpIkf,kf,1
rajIkf,kf,
rajjUkf,kf,
rahIkf,kf,
rahIBU,BU,
rAjamArgIkf,kf,
rASIkf,kf,
rASIBU,BU,
riktIkf,kf,
rUpIkf,kf,
rEkf,kf,
lakzIkf,kf,
lakzIBU,BU,
lakzyIkf,kf,
lakzyIBU,BU,
laGUkf,kf,
liptIkf,kf,
lokAyata,kf,
lohitIBU,BU,
vakrIkf,kf,
vakrIBU,BU,
vajrasArIkf,kf,
varaDarmIkf,kf,
varRIBU,BU,
vartIkf,kf,
valayIkf,kf,
