root,hom,class,voice
nIlAya,,denom,atma
nIv,,1,para
nu,3,1,atma
nu,4,2,para
nu,4,6,para
nuq,,6,para
nud,,6,para
nU,,2,para
nU,,6,para
nUtanaya,,denom,para
nft,1,4,para
nF,,9,para
ned,2,1,para
nedaya,,denom,para
nez,,1,atma
nyUNKaya,,denom,atma
nyUnaya,,denom,para
paMS,,1,para
paMS,,10,para
paMs,,1,para
paMs,,10,para
pakz,,1,para
pakz,,10,para
paNkaya,,denom,para
pac,1,1,para
pac,2,1,para
pac,2,4,atma
paYc,1,1,para
paw,,1,para
pawapawAya,,denom,atma
pawwAya,,denom,atma
paW,,1,para
paR,,1,atma
paRAya,,denom,atma
paRAya,,denom,atma
paRq,,1,atma
paRq,,10,para
paRq,,1,para
paRqitAya,,denom,atma
pat,1,4,atma
pat,2,1,para
patIya,1,denom,para
pattraya,,denom,para
pattrAya,,denom,atma
paT,,1,para
pad,1,1,para
pad,2,4,atma
padmAya,,denom,atma
pan,2,1,atma
panAya,,denom,atma
panT,,1,para
panT,,10,para
pamb,,1,para
pay,,1,atma
payAya,,denom,atma
parR,,10,para
parRaya,1,denom,para
pard,,1,atma
parp,,1,para
parb,,1,para
paryARaya,,denom,para
parv,,1,para
parz,,1,atma
pal,,1,para
palpUlaya,,denom,para
pall,,1,para
pallavaya,,denom,para
pav,,1,atma
pavitraya,,denom,para
paz,,1,para
paz,,10,para
pas,,1,para
pas,,10,para
pA,1,1,para
pA,1,2,atma
pA,3,2,para
pA,5,3,atma
pAwalaya,,denom,para
pARquraya,,denom,para
pAtraya,,denom,para
pAdaya,,denom,para
pApaya,,denom,atma
pApAya,,denom,atma
pAy,,1,atma
pAl,,10,para
pASaya,,denom,para
pASAya,,denom,atma
pi,1,6,para
pi,,1,atma
pi,,2,atma
pi,,3,para
piMs,,1,para
piMs,,10,para
picc,,10,para
piC,,10,para
piC,,6,para
piYj,,2,atma
piYj,,10,para
piYjaraya,,denom,para
piw,,1,para
piwwaya,,denom,para
piW,,1,para
piRq,,1,atma
piRq,,10,para
pinv,,1,para
pil,,10,para
piS,1,6,para
piSaNgaya,,denom,para
piSunaya,,denom,para
piz,,7,para
pis,,4,para
pI,1,4,atma
pI,2,1,atma
pI,2,2,atma
pI,2,3,para
pIWAya,,denom,atma
pIq,,10,para
pIqAya,,denom,atma
pIy,,1,para
pIl,,1,para
puMs,1,10,para
puC,,1,para
puYjaya,,denom,para
puw,,6,para
puw,,1,para
puw,,10,para
puww,,10,para
puq,,6,para
puq,,1,para
puR,,6,para
puR,,10,para
puRw,,10,para
puRq,,1,para
putrIya,2,denom,para
puT,,4,para
punT,,1,para
pur,2,6,para
purIzaya,,denom,para
puruzAya,,denom,atma
purv,,1,para
pul,,1,para
pul,,6,para
pul,,10,para
pulakaya,,denom,para
puz,1,4,para
puz,2,1,para
puz,2,4,para
puz,2,9,para
puzkarAya,,denom,atma
puzpAya,,denom,atma
pus,,10,para
pust,,10,para
pU,1,9,para
pU,1,1,atma
pUj,,10,para
pUj,,1,para
pUR,,10,para
pUtanAya,,denom,para
pUy,,1,para
pUrtaya,,denom,para
pUl,,1,para
pUl,,10,para
pUz,,1,para
pf,1,3,para
pf,1,9,para
pf,2,5,para
pf,2,6,atma
pfc,1,7,para
pfc,1,2,para
pfc,1,1,para
pfc,1,3,para
pfj,,2,atma
pfYj,,2,atma
pfq,,6,para
pfR,,6,para
pftanAya,,denom,para
pfT,1,10,para
pfT,2,10,para
pfz,,1,para
pfz,,1,atma
pF,,9,para
pF,,6,para
pF,,3,para
peR,,1,para
peb,,1,atma
pel,,1,para
pel,,10,para
pev,,1,atma
pez,,1,atma
pes,,1,para
pE,,1,para
pER,,1,para
poYC,,1,atma
powAya,,denom,atma
potAya,,denom,atma
pyAy,,1,atma
pyuz,,4,para
pyuz,,10,para
pyus,,4,para
pyE,,1,atma
praC,,6,para
pratIpaya,,denom,para
pratIpAya,,denom,atma
pratyakzaya,,denom,para
pratyakzAya,,denom,atma
pratyayAya,,denom,para
praT,1,1,atma
praT,2,10,para
praTaya,,denom,para
pradakziRaya,,denom,para
prabalaya,,denom,para
pramARaya,,denom,para
prarzaBIya,,denom,para
pralkArIya,,denom,para
pravaRaya,,denom,para
praSnaya,,denom,para
pras,,1,atma
prA,1,2,para
prArkzIya,,denom,para
prArzaBIya,,denom,para
prAsAdIya,1,denom,para
priyAya,,denom,atma
priyIya,,denom,para
prI,1,9,para
prI,1,4,atma
prIyAya,,denom,atma
pru,,1,atma
pruT,,1,para
pruz,1,5,para
pruz,1,10,para
pruz,1,9,para
pruz,1,4,para
pruz,3,1,para
pruzvAya,,denom,atma
prekIya,,denom,para
prez,1,1,atma
prER,,1,para
proGIya,,denom,para
proT,,1,para
plakz,,1,para
plab,,1,atma
plav,,1,atma
plih,,1,atma
plI,,9,para
plu,,1,atma
pluz,,1,para
pluz,,4,para
pluz,,9,para
pluzwAya,,denom,atma
plus,,4,para
plev,,1,atma
psA,1,2,para
Pakk,,1,para
PaR,,1,para
ParParAya,,denom,atma
Parv,,1,para
Pal,,1,para
PalAya,,denom,atma
PurAPurAya,,denom,atma
Pull,,1,para
PenAya,,denom,para
Pel,,1,para
baMh,,1,atma
bakabakAya,,denom,atma
bakAya,,denom,para
baW,,1,para
baR,,1,para
bad,,1,para
baDiraya,,denom,para
band,,1,para
banD,,9,para
banD,,1,para
banD,,4,para
baBr,,1,para
bamb,,1,para
barb,,1,para
barh,,1,atma
barh,,10,para
bal,2,1,para
bal,2,10,para
balaya,,denom,para
balAya,1,denom,atma
balh,,1,atma
balh,,10,para
bahaya,,denom,para
bAq,,1,atma
bAD,,1,atma
bAzpAya,,denom,atma
biw,,1,para
bid,,1,para
bind,,1,para
bil,,6,para
bil,,10,para
biS,,1,para
bis,,4,para
bIB,,1,atma
bukk,,1,para
bukk,,10,para
buNg,,1,para
buw,,1,para
buw,,10,para
buq,,6,para
bud,,1,para
buD,,1,para
buD,,4,atma
bund,,1,para
bunD,,10,para
bul,,10,para
bus,,4,para
bust,,10,para
bfMh,2,1,para
bfMh,4,1,para
bfMh,4,10,para
bfh,1,6,para
bfh,2,1,para
bfh,4,1,para
bfh,4,10,para
beS,,1,para
beh,,1,atma
beh,,1,para
brahm,,1,para
brahmAya,,denom,atma
brU,,2,para
blI,,9,para
BakaBakAya,,denom,atma
Bakz,,10,para
Bakz,,1,para
BaNguraya,,denom,para
Baj,,1,para
BaYj,1,7,para
BaYj,2,10,para
Baw,,1,para
Baw,,10,para
BawaBawAya,,denom,para
BaR,,1,para
BaRw,,10,para
BaRq,,1,atma
BaRq,,1,para
BaRq,,10,para
Ban,,1,para
Band,,1,atma
Barts,,10,atma
Barb,,1,para
BarB,,1,para
Barv,,1,para
Bal,,1,atma
Bal,,10,atma
Ball,,1,atma
Baz,,1,para
Bas,1,3,para
Basmasaya,,denom,para
BA,1,2,para
BAm,,1,atma
BAm,,10,para
BArAya,,denom,atma
BArgavAya,,denom,atma
BAz,1,1,atma
BAs,1,1,atma
BAsAya,,denom,atma
Bikz,,1,atma
Bid,1,7,para
Bid,1,1,para
BI,1,3,para
BI,1,1,atma
BI,1,10,para
Buj,1,6,para
Buj,3,7,para
Buj,3,6,para
BuRq,,1,atma
BU,1,1,para
BUmaya,2,denom,para
BUz,,1,para
BUzAya,,denom,atma
Bf,1,1,para
Bf,1,3,para
Bf,1,2,para
BfMS,,1,para
BfMS,,10,para
Bfkz,,1,para
BfNgAya,,denom,atma
Bfj,,1,atma
Bfq,,6,para
BfRIya,,denom,atma
BftyAya,,denom,atma
BfS,,4,para
BfS,,6,para
BfSAya,,denom,atma
BF,,9,para
Bez,,1,para
Byas,,1,atma
BraMS,,1,atma
BraMS,,4,para
Brakz,,1,para
Brajj,,6,para
BraR,,1,para
Bram,,1,para
Bram,,4,para
BramarAya,,denom,atma
BramAya,,denom,atma
BraS,,1,atma
BraS,,4,para
BrAj,1,1,atma
BrAS,,1,atma
BrAS,,4,atma
BrAs,,1,atma
BrAs,,4,atma
BrI,,9,para
Bruq,,6,para
BrUR,,10,atma
Brej,,1,atma
Brez,,1,para
Blakz,,1,para
BlAS,,1,atma
BlAS,,4,atma
maMh,,1,atma
makamakAya,,denom,atma
makk,,1,atma
makz,1,1,para
maK,,1,para
maNk,,1,atma
maNK,,1,para
maNg,,1,atma
maNG,,1,para
mac,,1,atma
majj,,6,para
maYc,,1,atma
maYj,,10,para
maYjaraya,,denom,para
maW,,1,para
maWaya,,denom,para
maR,,1,para
maRIya,,denom,atma
maRw,,10,para
maRW,,1,atma
maRq,,1,para
maRqalaya,,denom,para
maRqalAya,,denom,atma
maT,1,1,para
maT,1,9,para
maTAya,,denom,para
mad,2,4,para
mad,2,1,para
mad,2,3,para
madanAya,,denom,atma
madrAya,,denom,atma
madrikAya,,denom,atma
maDuraya,,denom,para
man,,8,atma
man,,4,atma
manAya,,denom,para
mantr,,10,atma
manT,1,1,para
manT,1,9,para
mand,1,1,atma
mandaya,,denom,para
mandarAya,,denom,para
mandAya,,denom,atma
mandraya,,denom,atma
maBr,,1,para
mamAya,,denom,atma
mamb,,1,para
may,,1,atma
marc,,10,para
marj,,1,para
marj,,6,para
marb,,1,para
marmarAya,,denom,atma
marv,,1,para
mal,,1,atma
mal,,10,para
malinaya,,denom,para
mall,,1,atma
mav,,1,para
mavy,,1,para
maS,,1,para
maz,,1,para
mas,1,4,para
masfRaya,,denom,para
mask,,1,atma
mah,1,1,para
mah,1,10,para
mahIya,,denom,atma
mA,2,3,para
mA,3,2,para
mA,3,3,atma
mA,3,4,atma
mAMsIya,,denom,para
mANkz,,1,para
mAq,,1,para
mAtaya,,denom,para
mAtrIya,,denom,atma
mAn,,1,para
mAn,,10,para
mAnT,,1,para
mArg,,1,para
mArg,,10,para
mArj,,10,para
mAlaya,1,denom,para
mAlIya,1,denom,para
mAh,,1,para
mi,1,5,para
miC,,6,para
miYj,,10,para
mitraya,,denom,para
mitrAya,,denom,atma
mitrIya,,denom,para
miT,,1,para
miTunAya,,denom,atma
mid,1,1,para
mid,2,1,atma
mid,2,4,para
mid,2,10,para
miD,,1,para
mind,2,1,atma
mind,2,4,para
mind,2,10,para
mil,,6,para
miS,,1,para
miSr,,10,para
miz,1,6,para
miz,2,1,para
mizamizAya,,denom,atma
mis,,4,para
mih,1,1,para
mI,1,9,para
mI,3,1,para
mI,3,10,para
mIm,,1,para
mIl,,1,para
mIv,1,1,para
mIv,2,1,para
mukurAya,,denom,atma
mukulaya,,denom,para
mukulAya,,denom,atma
muKaraya,,denom,para
muc,1,1,atma
muc,2,6,para
muC,,1,para
muj,,1,para
muj,,10,para
muYc,,1,para
muYc,,1,atma
muYj,,1,para
muYj,,10,para
muw,,1,para
muw,,6,para
muw,,10,para
muq,,1,para
muR,,6,para
muRw,,1,para
muRW,,1,atma
muRq,,1,para
muRq,,1,atma
muRqaya,,denom,para
mud,1,10,para
mud,2,1,atma
mudraya,,denom,para
mur,3,6,para
murC,,1,para
murmurIya,,denom,para
murv,,1,para
muz,1,1,para
muz,2,9,para
muz,2,1,para
muz,2,6,para
muzAya,,denom,para
mus,,4,para
must,,10,para
muh,1,4,para
mU,,1,atma
mUtraya,,denom,atma
mUrC,,1,para
mUl,,1,para
mUz,1,1,para
mf,,6,atma
mf,,1,para
mfkz,,1,para
mfg,,4,para
mfg,,10,atma
mfc,1,10,para
mfc,1,4,para
mfC,,6,atma
mfj,1,2,para
mfj,1,6,para
mfj,1,1,para
mfq,,6,para
mfq,,9,para
mfR,,6,para
mfd,1,9,para
mfd,1,1,para
mfD,1,1,para
mfD,1,6,para
mfS,1,6,para
mfz,1,4,para
mfz,1,1,para
mfz,3,1,para
mfzAya,,denom,atma
mF,,9,para
me,1,1,atma
meGaya,,denom,para
meGAya,,denom,para
mew,,1,para
meq,,1,para
med,1,1,para
meD,,1,para
mep,,1,para
mev,,1,atma
mezAya,,denom,atma
mEtrAya,,denom,para
mokz,,1,atma
mokz,,10,para
mokzAya,,denom,atma
moGAya,,denom,atma
mnA,,1,para
myakz,,1,para
mrakz,,1,para
mrad,,1,atma
mrit,,4,para
mruc,,1,para
mruYc,,1,para
mreq,,1,para
mlakz,,10,para
mluc,,1,para
mluYc,,1,para
mleC,,1,para
mleC,,10,para
mlew,,1,para
mleq,,1,para
mlev,,1,atma
mlE,,1,para
yakz,,1,para
yakz,,10,atma
yaj,1,1,para
yajYAya,,denom,para
yat,2,1,atma
yat,2,10,atma
yantr,,10,para
yantr,,1,para
yantraya,,denom,para
yaB,,1,para
yam,,1,para
yamAya,,denom,atma
yavaya,,denom,para
yas,,4,para
yA,1,2,para
yAc,,1,para
yAminaya,,denom,para
yu,1,3,para
yu,2,2,para
yugalAya,,denom,atma
yugAya,,denom,atma
yuNg,,1,para
yuC,,1,para
yuj,1,7,para
yut,2,1,atma
yuD,1,4,atma
yuD,1,1,para
yup,,4,para
yuzmaya,,denom,para
yUz,,1,para
yez,,1,para
yoktraya,,denom,para
yogAya,,denom,atma
yogIya,,denom,atma
yOw,,1,para
raMh,,1,para
raMh,,10,para
rak,,10,para
rakz,1,1,para
raK,,1,para
rag,,1,para
rag,,10,para
raNK,,1,para
raNg,,1,para
raNG,,1,atma
rac,,10,para
raj,,1,para
raj,,4,para
rajasaya,,denom,para
raYj,,1,para
raYj,,4,para
raw,,1,para
rawarawAya,,denom,atma
raW,,1,para
raR,1,1,para
raR,1,4,para
raR,2,1,para
raR,3,10,para
raRv,,1,para
raTirAya,,denom,para
raTIya,,denom,para
rad,,1,para
raD,,4,para
ran,1,1,para
ran,1,4,para
ranD,,4,para
ranDanAya,,denom,para
rap,,1,para
raP,,1,para
raB,,1,atma
ram,,1,atma
ramaRIya,2,denom,atma
ramP,,1,para
ramb,1,1,atma
ramb,2,1,atma
ramb,2,1,para
ramB,,1,atma
ramB,2,1,atma
ray,,1,atma
rarP,,1,para
raSanAya,,denom,atma
ras,1,1,para
ras,2,10,para
rah,,1,para
rah,,10,para
rahAya,,denom,atma
rA,1,2,para
rAK,,1,para
rAG,1,1,atma
rAj,1,1,para
rAjAya,,denom,atma
rAjIya,,denom,para
rAD,,5,para
rAD,,4,para
rAs,1,2,para
rAs,1,1,atma
ri,1,9,para
ri,1,4,para
riK,,1,para
riK,,6,para
riNK,,1,para
riNg,,1,para
ric,,7,para
ric,,1,para
ric,,4,atma
rij,,1,atma
riRv,,1,para
riP,,6,para
riB,,1,para
rimP,,6,para
riS,,6,para
riz,1,1,para
riz,1,4,para
rizwIya,,denom,para
rih,,6,para
rih,,2,para
rI,1,9,para
rI,1,4,para
rIv,,1,para
ru,1,2,para
ru,3,1,atma
ruMS,,1,para
ruMS,,10,para
ruc,1,1,atma
ruj,1,6,para
rujAya,,denom,atma
ruw,,1,atma
ruw,,10,para
ruW,,1,para
ruW,,1,atma
ruRw,,1,para
ruRW,,1,para
rud,1,2,para
ruD,1,1,para
ruD,2,7,para
rup,1,4,para
ruS,,6,para
ruz,1,1,para
ruz,1,4,para
ruh,1,1,para
rUkz,,10,para
rUp,,10,para
rUz,,1,para
rUz,,10,para
rek,,1,atma
reKAya,,denom,atma
rej,1,1,para
rew,,1,para
req,,1,atma
rep,,1,atma
reB,,1,para
reBAya,,denom,para
reL,,1,atma
rez,1,1,atma
rehAya,,denom,para
rE,1,1,para
roq,,1,para
romanTAya,,denom,para
rohAya,,denom,atma
rOw,,1,para
rOq,,1,para
lak,,10,para
lakz,,1,atma
lakz,,10,para
laK,,1,para
lag,,1,para
laGaya,,denom,para
laNg,,1,para
laNG,,1,para
laNG,,10,para
laC,,1,para
laj,1,6,atma
laj,2,1,para
laj,3,10,para
lajj,,6,atma
lajjAya,,denom,atma
laYj,1,1,para
laYj,2,10,para
law,1,1,para
laq,,1,para
laq,,10,para
laRq,,10,para
latAya,,denom,atma
lap,1,1,para
laB,,1,atma
lamb,1,1,atma
lamb,2,1,atma
lamB,,1,atma
lay,,1,atma
lard,,10,para
larb,,1,para
lal,,1,para
lalAwikAya,,denom,atma
lavaRaya,,denom,para
lavaRIya,,denom,para
lavaya,,denom,para
laS,,10,para
laz,,1,para
laz,,4,para
laz,,10,para
las,1,1,para
lA,1,2,para
lAK,,1,para
lAG,,1,atma
lAj,,1,para
lAjAya,,denom,atma
lAYC,,1,para
lAYCanAya,,denom,atma
lAYj,,1,para
lAwyAya,,denom,para
lAq,,10,para
lAB,,10,para
lAlAya,,denom,atma
liK,,6,para
liNK,,1,para
liNg,,1,para
liNg,,10,para
lip,,6,para
lip,,1,para
liS,1,4,atma
liS,1,6,para
lih,1,2,para
lI,1,9,para
lI,1,1,para
lI,1,4,atma
lInaya,,denom,para
lIlAya,,denom,atma
luYc,,1,para
luw,1,1,atma
luw,1,10,para
luw,2,1,para
luw,2,4,para
luw,2,1,atma
luw,2,10,para
luW,1,1,para
luW,1,1,atma
luW,1,10,para
luW,2,6,para
luq,,1,para
luq,,6,para
luRw,,1,para
luRw,,10,para
lunT,,1,para
lup,1,6,para
lup,1,4,para
luB,,6,para
luB,,4,para
lumb,,1,para
lumb,,10,para
lul,,1,para
luz,,1,para
luh,,1,para
lU,1,9,para
lUz,,1,para
lUz,,10,para
leKAya,,denom,para
lep,,1,atma
lelAya,,denom,atma
lER,,1,para
lok,,1,atma
loc,,1,atma
loc,,10,para
low,1,1,para
loq,1,1,para
lorAya,,denom,para
lozw,,1,atma
lozwAya,,denom,atma
lohitAya,,denom,atma
lOq,,1,para
lpI,,9,para
lyI,,9,para
lvI,,9,para
vak,2,1,atma
vakk,,1,atma
vakz,,1,para
vaK,,1,para
vaNk,2,1,atma
vaNK,,1,para
vaNg,,1,para
vaNG,,1,atma
vac,,2,para
vac,,3,para
vaj,,1,para
vaj,,10,para
vajrAya,,denom,atma
vaYc,,1,para
vaw,,1,para
vaw,,10,para
vaww,,1,para
vaW,,1,para
vaqQ,,1,para
vaR,,1,para
vaRw,,1,para
vaRw,,10,para
vaRW,,1,atma
vaRq,,1,atma
vaRq,,10,para
vatsalaya,,denom,para
vatsAya,,denom,para
vad,,1,para
van,1,1,para
van,1,8,para
vanitAya,,denom,atma
vanIya,,denom,para
vand,,1,atma
vanDyAya,,denom,atma
vap,1,1,para
vap,2,1,para
vaBr,,1,para
vam,,1,para
vay,,1,atma
vay,,1,para
vargaya,,denom,para
varc,,1,atma
varcAya,,denom,atma
varR,,10,para
varD,,10,para
varP,,1,para
varmaya,,denom,para
varmAya,,denom,atma
varh,,1,atma
varh,,10,para
val,,1,atma
valk,,10,para
valg,,1,para
valB,,1,atma
vall,,1,para
valh,,1,atma
valh,,10,para
vavraya,,denom,atma
vaS,,2,para
vaz,,1,para
vazk,,1,atma
vas,2,6,para
vas,3,10,para
vas,4,2,atma
vas,5,1,para
vas,5,10,para
vas,8,4,para
vask,,1,atma
vast,,10,atma
vastraya,,denom,para
vastrAya,,denom,atma
vasnaya,,denom,para
vah,1,1,para
vahnIya,,denom,atma
vA,2,2,para
vANkz,,1,para
vAcAlaya,,denom,para
vAcyAya,,denom,atma
vAjaya,,denom,para
vAYC,,1,para
vAt,2,10,para
vAtaya,,denom,para
vAtyAya,,denom,atma
vApyAya,,denom,para
vArIya,,denom,atma
vArttaya,,denom,para
vAvft,,4,atma
vAS,,4,atma
vAs,2,10,para
vAh,1,1,atma
vic,,7,para
viC,,10,para
vij,1,6,atma
vij,1,1,para
vij,1,3,para
viw,,1,para
viw,,1,para
viq,1,1,para
viRw,,10,para
vitaTaya,,denom,para
vitt,,10,para
viT,,1,atma
vid,1,2,para
vid,3,6,para
vid,5,7,atma
vidyutaya,,denom,atma
viD,1,6,para
viD,2,6,atma
viD,5,1,atma
viDuraya,,denom,para
vinDyAya,,denom,atma
vip,1,1,atma
vipakzaya,,denom,para
vipinAya,,denom,atma
vipulaya,,denom,para
viPalaya,,denom,para
vimuKaya,,denom,para
viralAya,,denom,para
vil,,6,para
vil,,10,para
vil,,6,para
vil,,10,para
viS,,1,para
viS,1,6,para
viSAlaya,,denom,para
viz,1,3,para
viz,1,1,para
viz,4,9,para
vizamAya,,denom,atma
vizAya,,denom,para
vizk,,10,para
vis,,4,para
vI,1,2,para
vIj,,1,para
vIr,2,10,atma
vIrAya,,denom,atma
vuRw,,10,para
vf,1,5,para
vf,1,9,para
vf,1,1,para
vf,1,5,atma
vf,1,9,atma
vf,1,1,atma
vf,2,5,para
vf,2,9,para
vfk,,1,atma
vfkAya,,denom,atma
vfkz,,1,atma
vfj,1,1,para
vfj,1,7,para
vfj,1,2,atma
vfjinAya,,denom,para
vfR,,8,para
vfR,,6,para
vft,1,1,atma
vfD,,1,atma
vfndArakAya,,denom,para
vfS,,4,para
vfz,,1,para
vfzAya,,denom,atma
vfzIya,,denom,para
vfh,1,6,para
ve,1,1,para
vekz,,10,para
vewy,,1,para
veT,,1,atma
vedApaya,,denom,para
veD,,1,atma
ven,,1,para
vel,1,1,para
vel,2,10,para
vell,,1,para
vevI,,2,atma
vezw,,1,atma
ves,,1,para
veh,,1,atma
veh,,1,para
vehAya,,denom,atma
vehl,,1,para
vE,1,1,para
vEtaMsikAya,,denom,atma
vEdyAya,,denom,atma
vErAya,,denom,atma
vyagraya,,denom,para
vyac,,6,para
vyaT,,1,atma
vyaD,,4,para
vyap,,10,para
vyay,,1,para
vyay,,10,para
vyay,2,10,para
vyarTaya,,denom,para
vyAkulaya,,denom,para
vyAjaya,,denom,para
vyADAya,,denom,atma
vyAlIya,,denom,para
vyuz,1,4,para
vyuz,1,10,para
vye,,1,para
vraj,,1,para
vraj,,10,para
vraR,1,1,para
vraR,2,1,para
vraR,2,10,para
vrataya,,denom,para
vraSc,,6,para
vrI,,9,para
vrI,,4,atma
vrIq,,1,atma
vrIq,,4,para
vrIq,,10,para
vruq,,6,para
vrUs,,1,para
vrUs,,10,para
vlI,,9,para
SaMs,,1,para
Sak,,5,para
SakawAya,,denom,para
Sakalaya,,denom,para
SakaSakAya,,denom,para
SaNk,,1,atma
Sac,,1,atma
SaYc,,1,atma
Saw,,1,para
Saw,,10,atma
SaW,1,10,atma
SaW,2,10,para
SaW,3,10,para
SaW,4,1,para
SaW,4,10,para
SaR,,1,para
SaR,,10,para
SaRq,,1,atma
Sad,2,1,atma
Sad,2,6,atma
Sap,3,1,para
Sap,3,4,para
SapaTIya,,denom,para
Sabd,,10,para
SabdAya,,denom,atma
Sam,1,4,para
SamAya,,denom,para
Samb,,1,para
Samb,,10,para
Saravyaya,,denom,para
SaravyAya,,denom,atma
SarAya,,denom,atma
Sarb,,1,para
Sarmaya,,denom,para
Sarv,,1,para
Sal,1,1,atma
Sal,1,1,para
Sal,1,10,atma
SalaBAya,,denom,para
SalB,,1,atma
Salyaya,,denom,para
SalyAya,,denom,atma
Sav,,1,para
SaS,,1,para
SaSvAya,,denom,para
Saz,,1,para
Sas,1,1,para
SAK,,1,para
SAq,,1,atma
SAntaya,,denom,para
SAl,,1,atma
SAl,,10,atma
SAs,1,2,para
Si,1,3,para
Si,1,5,para
Sikz,,1,para
SiNK,,1,para
SiNG,,1,para
SiYj,,2,atma
SiYj,,1,atma
SiYj,,10,atma
Siw,,1,para
SiTilaya,,denom,atma
SiTilAya,,denom,atma
Sim,,4,para
SirisirAya,,denom,atma
Sil,,6,para
SivIya,,denom,para
SiSiraya,,denom,para
SiSirAya,,denom,atma
Siz,1,1,para
Siz,2,7,para
SI,1,2,atma
SI,3,4,atma
SIk,,1,atma
SIkAya,,denom,atma
SIGrAya,,denom,atma
SItaya,,denom,para
SItalaya,,denom,para
SItalAya,,denom,atma
SIB,,1,atma
SIl,1,1,para
SIl,1,10,para
Su,1,1,para
Suk,,1,para
Suc,1,1,para
Suc,1,4,para
Suc,3,4,para
SucIya,,denom,atma
Sucy,2,1,para
SuW,,1,para
SuW,,10,para
SuRW,,1,para
SuRW,,10,para
SuRq,,1,para
SuD,,1,para
SuD,,4,para
Sun,,6,para
SunD,,1,para
SunD,,4,para
SuB,1,1,atma
SuB,1,6,para
SuBAya,,denom,para
SumB,2,1,para
Sulk,,10,para
Sulb,,10,para
Sulv,,10,para
Suz,1,4,para
Suz,3,6,para
SUr,,4,atma
SUr,,10,atma
SUrp,,10,para
SUl,,1,para
SUl,,4,para
SUz,,1,para
SfNKalaya,,denom,para
SfNgAya,,denom,atma
SfNgArIya,,denom,para
SfD,,1,para
SF,,9,para
SeKaraya,,denom,para
SeKarAya,,denom,atma
Sel,,1,para
SelAya,,denom,para
Sev,,1,atma
SEvAlIya,,denom,para
So,,3,para
So,,4,para
SoR,,1,para
SoRAya,,denom,atma
SoBAya,,denom,atma
SOw,,1,para
Scut,1,1,para
SnaT,,1,para
SmIl,,1,para
SyAmAya,,denom,atma
SyAvaya,,denom,para
SyE,,1,para
SraNk,,1,atma
SraNk,,1,atma
SraNg,,1,para
SraNg,,1,para
SraR,,1,para
SraR,,10,para
SraT,,9,para
SranT,,9,para
Sram,1,4,para
SramaRAya,,denom,atma
SramB,,1,atma
SrA,,1,para
SrA,,4,para
SrA,,2,para
SrApaya,,denom,para
Sri,1,1,para
Sriz,1,1,para
SrI,1,9,para
Sru,1,5,para
SrE,,1,para
SrE,,4,para
SrE,,2,para
SroR,,1,para
SroR,,1,para
SlakzRaya,,denom,para
SlaNk,,1,atma
SlaNg,,1,para
SlaT,,1,para
SlaTAya,,denom,atma
SlAK,,1,para
SlAG,,1,atma
Sliz,1,1,para
Sliz,2,4,para
Slok,,1,atma
Slokaya,,denom,para
SloR,,1,para
SvaNk,,1,atma
SvaNg,,1,para
Svac,,1,atma
Svaj,,1,atma
SvaYc,,1,atma
SvaYj,,1,atma
SvaW,1,10,para
SvaW,2,10,para
SvaRW,2,10,para
SvaBr,,10,para
SvaBrIya,,denom,para
Sval,,1,para
Svalk,,10,para
Svall,,1,para
Svas,1,2,para
SvAtr,,1,para
Svi,,1,para
Svit,1,1,atma
Svind,,1,atma
Svetaya,,denom,para
SvetAya,,denom,atma
zaww,,10,para
zaRQaya,,denom,para
zaRQIya,,denom,para
zazk,,1,para
zukk,,1,atma
zoqIya,,denom,para
zWiv,,1,para
zWiv,,4,para
zWIv,,1,para
zWIv,,4,para
zvakk,,1,atma
zvazk,,1,para
zvazk,,1,atma
saMkawAya,,denom,atma
saMketaya,,denom,para
saMguRaya,,denom,para
saMDyAya,,denom,atma
sakalaya,,denom,para
sakz,,1,para
saKIya,,denom,para
sag,,1,para
saG,,5,para
sac,1,1,atma
saj,2,1,para
sajj,1,1,para
sajj,1,1,para
sajjaya,,denom,atma
sajjIya,,denom,atma
saYj,1,1,para
saYj,2,1,para
saw,,1,para
saww,,10,para
saW,1,10,para
sattraya,,denom,atma
sattrApaya,,denom,atma
sattrAya,,denom,atma
satyApaya,,denom,para
satr,,10,atma
sad,2,1,para
sad,2,6,para
san,1,1,para
san,1,8,para
sanAya,,denom,para
sap,1,1,para
sapiRqaya,,denom,para
saPalaya,,denom,para
saBAj,,10,para
sam,1,1,para
sam,1,10,para
samagraya,,denom,para
samaya,1,denom,para
samAnaya,,denom,para
samIya,1,denom,atma
samudrAya,,denom,atma
say,,1,atma
saraya,,denom,atma
saralaya,,denom,para
saralAya,,denom,atma
sarasarAya,,denom,atma
sarj,1,1,para
sarj,2,1,para
sarpAya,,denom,atma
sarb,,1,para
sarzapAya,,denom,atma
sal,,1,para
sas,,2,para
sah,1,1,atma
sah,3,4,para
sAkz,,1,para
sAgarAya,,denom,atma
sAw,,10,para
sAD,1,1,para
sADaya,,denom,para
sAntv,,10,para
sAmaya,1,10,para
sAyakAya,,denom,atma
sAraya,,denom,para
si,1,5,para
si,1,9,para
siMhAya,,denom,atma
sic,1,6,para
siw,,1,para
siD,1,1,para
siD,2,1,para
siD,3,4,para
siprAya,,denom,atma
simasimAya,,denom,atma
