root,hom,class,voice
kartr,,10,para
kartrIya,,denom,para
kard,,1,para
karb,,1,para
karv,,1,para
kal,1,1,atma
kal,2,10,para
kalaNkaya,,denom,para
kalaya,1,denom,para
kalahAya,,denom,atma
kaluzaya,,denom,para
kaluzAya,,denom,atma
kall,,1,atma
kav,,1,atma
kav,,10,para
kavalaya,,denom,para
kaS,,1,para
kaz,,1,para
kazwAya,,denom,atma
kas,1,1,para
kAMs,,1,atma
kANkz,,1,para
kAYc,,1,atma
kAntAya,,denom,atma
kAmukAya,,denom,atma
kArmukAya,,denom,atma
kAlaya,,denom,para
kAS,,1,atma
kAS,,4,para
kAs,1,1,atma
ki,2,3,para
kiw,,1,para
kiwakiwApaya,,denom,para
kiwakiwAya,,denom,atma
kit,,3,para
kil,,6,para
kil,,10,para
kilakilAya,,denom,atma
kilikilaya,,denom,para
kilikilAya,,denom,atma
kizk,,10,atma
kisalaya,2,denom,para
kIw,,10,para
kIrt,,10,para
kIl,,1,para
kuMS,,1,para
kuMS,,10,para
kuMs,,1,para
kuMs,,10,para
kuk,,1,atma
kuc,,1,para
kuc,,6,para
kuj,,1,para
kuj,,6,para
kuYc,,1,para
kuYj,,1,para
kuw,,6,para
kuw,,4,para
kuw,,10,atma
kuwIya,,denom,para
kuwumbaya,,denom,para
kuww,,10,para
kuq,,6,para
kuqmalAya,,denom,atma
kuR,,6,para
kuR,,10,para
kuRW,,1,para
kuRq,,1,para
kuRq,,1,atma
kuts,,10,para
kuts,,1,para
kuts,,4,para
kuT,,4,para
kud,,10,para
kunT,,1,para
kunT,,9,para
kundr,,10,para
kup,1,4,para
kup,2,10,para
kumAraya,,denom,para
kumb,,6,para
kumb,,10,para
kur,,6,para
kuraNgAya,,denom,atma
kurkurIya,,denom,para
kul,,1,para
kuliSAya,,denom,atma
kulyAya,,denom,atma
kuS,,4,para
kuz,,9,para
kusumaya,,denom,para
kuh,1,10,atma
kuhukuhAya,,denom,atma
kU,1,2,para
kU,1,1,atma
kU,1,6,para
kU,1,9,para
kUj,,1,para
kUw,,10,para
kUq,1,6,para
kUq,2,10,para
kUR,,1,para
kUp,,10,para
kUpAya,,denom,atma
kUrd,,1,para
kUl,1,1,para
kf,1,2,para
kf,1,1,para
kf,1,5,para
kf,1,8,para
kf,2,3,para
kfcCrAya,,denom,atma
kft,2,6,para
kft,2,1,para
kft,3,7,para
kftaya,,denom,para
kfp,2,6,atma
kfp,2,10,para
