name,prefix_type
praRayI,cvi
pratanU,cvi
pratapane,other
pratibimbI,cvi
pratyakzavizayI,cvi
pratyakzI,cvi
pratyanantarI,cvi
pratyantarI,cvi
pratyArdrI,cvi
pratyuttarI,cvi
pradakziRI,cvi
prabalI,cvi
pramlAnI,cvi
pralambI,cvi
pravaRaviDeyI,cvi
pravaRI,cvi
pravIRI,cvi
prasAdI,cvi
prA,DAc
prAYjalI,cvi
prABftI,cvi
priyA,DAc
priyAmuKI,cvi
premarASI,cvi
prODI,cvi
PalI,cvi
Put,other
baDirI,cvi
banDU,cvi
bahalI,cvi
bahulI,cvi
bARAsanI,cvi
bIjaruhA,DAc
bIjA,DAc
brAhmaRI,cvi
BadrA,DAc
BasmA,DAc
BasmI,cvi
BAgI,cvi
BAvayatI,cvi
BImaBavI,cvi
BftyI,cvi
BfSI,cvi
BraMSakalA,DAc
maYjarI,cvi
matI,cvi
mad,other
madrA,DAc
manI,cvi
manujI,cvi
mantravaSI,cvi
mandI,cvi
mayUrI,cvi
marU,cvi
martyI,cvi
maryAdI,cvi
malinI,cvi
mazmazA,DAc
mahI,cvi
mAYjizWI,cvi
mAtrI,cvi
mAnuzI,cvi
mArdavI,cvi
mAsI,cvi
mitrI,cvi
miTunI,cvi
miSrI,cvi
mukulI,cvi
muKarI,cvi
muKI,cvi
muYjI,cvi
muzwI,cvi
musalI,cvi
mUkI,cvi
mUrKI,cvi
mUlI,cvi
mfdU,cvi
meKalI,cvi
moGI,cvi
yAnI,cvi
yUTI,cvi
yUpI,cvi
rajI,cvi
rajjU,cvi
rahI,cvi
rAjamArgI,cvi
rAjasAt,other
rASI,cvi
riktI,cvi
rUpI,cvi
rE,other
lakzI,cvi
lakzyI,cvi
laGU,cvi
liptI,cvi
lohitI,cvi
vakrI,cvi
vajrasArI,cvi
varaDarmI,cvi
varRI,cvi
vartI,cvi
valayI,cvi
vaSI,cvi
vahanI,cvi
vahnisAt,other
vAjI,cvi
vAntI,cvi
vAmI,cvi
vAlavyajanI,cvi
vAhanI,cvi
vikacI,cvi
vikawI,cvi
vikalI,cvi
viklavI,cvi
viguRI,cvi
vicUrRI,cvi
vicCAyI,cvi
vijawI,cvi
vijanI,cvi
vijarjarI,cvi
vitatI,cvi
vitaTI,cvi
vitAnI,cvi
vituzI,cvi
vidUrI,cvi
vidyADarI,cvi
viDanI,cvi
vipakzI,cvi
vipurI,cvi
vipulI,cvi
vipfzWI,cvi
vipra,other
viprasAt,other
viPalI,cvi
viBAgI,cvi
viBinnI,cvi
vimadI,cvi
vimAnI,cvi
vimuKI,cvi
virajI,cvi
viraTI,cvi
viralI,cvi
virasI,cvi
virahI,cvi
vilakzI,cvi
vivaSI,cvi
viSadI,cvi
viSezaRI,cvi
viSokI,cvi
viSrI,cvi
vizamI,cvi
vizayI,cvi
vispazwI,cvi
veSyAyattI,cvi
vErI,cvi
vyaktI,cvi
vyaNgI,cvi
vyaNgulI,cvi
vyajanI,cvi
vyantI,cvi
vyayI,cvi
vyarTI,cvi
vyasanI,cvi
vyAkulI,cvi
vyAkoSI,cvi
vyAjI,cvi
vyAnamrI,cvi
vyUhI,cvi
SakalA,DAc
SakalI,cvi
SataguRI,cvi
SataBaNgI,cvi
SabarI,cvi
SambA,DAc
SayanI,cvi
SaraRI,cvi
SarI,cvi
SarIrI,cvi
SaSI,cvi
SAkarasI,cvi
SAlInI,cvi
SiTilI,cvi
SilI,cvi
SiSirI,cvi
SizyI,cvi
SIt,other
SItalI,cvi
SItI,cvi
SIrRI,cvi
SukI,cvi
SukrI,cvi
SuklI,cvi
SucI,cvi
SuBI,cvi
SuBrI,cvi
SUdrI,cvi
SUnyI,cvi
SUrI,cvi
SUlA,DAc
SeKarI,cvi
SezI,cvi
SoRI,cvi
SyAmalI,cvi
SyAmI,cvi
SyetI,cvi
Srat,other
SrotriyasAt,other
SlakzRI,cvi
SlaTI,cvi
zaqguRI,cvi
saMkarI,cvi
saMketI,cvi
saMkramI,cvi
saMGI,cvi
saMjYopasarjanI,cvi
saMviBAgI,cvi
saMs,other
sakalI,cvi
sajjI,cvi
sajyI,cvi
sat,other
sattrI,cvi
satyA,DAc
sanATI,cvi
sapattrA,DAc
sapiRqI,cvi
saPalI,cvi
samacCedI,cvi
samayA,DAc
samayI,cvi
samalaM,other
samalI,cvi
samasTalI,cvi
samI,cvi
samIpI,cvi
samfdDI,cvi
sampuwI,cvi
sammuKI,cvi
saralI,cvi
sarasI,cvi
sarpI,cvi
saviDI,cvi
sahAyI,cvi
sahArTI,cvi
sAkzAt,other
sAkzAd,other
sAkzimAtrA,DAc
sAkzI,cvi
sAcI,cvi
sAtmI,cvi
sADanI,cvi
sADAraRI,cvi
sAndrI,cvi
sArasvatOzaDI,cvi
sArTI,cvi
sAvaDAnI,cvi
sAvayavI,cvi
siMhavyAGrAmizI,cvi
siMhI,cvi
sitI,cvi
suKA,DAc
suguptI,cvi
suDI,cvi
suPalI,cvi
sumanI,cvi
suraBI,cvi
suvarRI,cvi
susajjI,cvi
susamI,cvi
sUkzmI,cvi
sUtrI,cvi
sfk,other
somI,cvi
skanDI,cvi
stabDI,cvi
stamBI,cvi
starI,cvi
sTapuwI,cvi
sTalapaTI,cvi
sTalI,cvi
sTAyI,cvi
sTirI,cvi
spazwI,cvi
sPArI,cvi
sPItI,cvi
sPuwI,cvi
smarezuDI,cvi
svagA,DAc
svapatI,cvi
svarasI,cvi
svalpI,cvi
svasTI,cvi
svAgatI,cvi
svAdU,cvi
svAyattI,cvi
svI,cvi
hastI,cvi
haste,other
himI,cvi
huM,other
hetU,cvi
