stem,stem_genders,ending,form_gender,case,number
_,m,A,m,3,s
_,f,A,f,3,s
_,m,ByAm,m,3,d
_,f,ByAm,f,3,d
_,m,Bis,m,3,p
_,f,Bis,f,3,p
_,m,e,m,4,s
_,f,e,f,4,s
_,m,ByAm,m,4,d
_,f,ByAm,f,4,d
_,m,Byas,m,4,p
_,f,Byas,f,4,p
_,m,as,m,5,s
_,f,as,f,5,s
_,m,ByAm,m,5,d
_,f,ByAm,f,5,d
_,m,Byas,m,5,p
_,f,Byas,f,5,p
_,m,as,m,6,s
_,f,as,f,6,s
_,m,os,m,6,d
_,f,os,f,6,d
_,m,Am,m,6,p
_,f,Am,f,6,p
_,m,i,m,7,s
_,f,i,f,7,s
_,m,os,m,7,d
_,f,os,f,7,d
_,m,su,m,7,p
_,f,su,f,7,p
_,m,,m,8,s
_,f,,f,8,s
_,m,O,m,8,d
_,f,O,f,8,d
_,m,as,m,8,p
_,f,as,f,8,p
_,n,,n,1,s
_,n,I,n,1,d
_,n,,n,2,s
_,n,I,n,2,d
_,n,A,n,3,s
_,n,ByAm,n,3,d
_,n,Bis,n,3,p
_,n,e,n,4,s
_,n,ByAm,n,4,d
_,n,Byas,n,4,p
_,n,as,n,5,s
_,n,ByAm,n,5,d
_,n,Byas,n,5,p
_,n,as,n,6,s
_,n,os,n,6,d
_,n,Am,n,6,p
_,n,i,n,7,s
_,n,os,n,7,d
_,n,su,n,7,p
_,n,,n,8,s
_,n,I,n,8,d
