stem,stem_genders,form,form_gender,case,number
viSva,mfn,viSvezAm,n,6,p
viSva,mfn,viSvam,n,7,s
viSva,mfn,viSve,n,7,d
viSva,mfn,viSvAni,n,7,p
viSva,mfn,viSvam,n,8,s
viSva,mfn,viSve,n,8,d
viSva,mfn,viSvAni,n,8,p
uBa,mfn,uBO,m,1,d
uBa,mfn,uBO,m,2,d
uBa,mfn,uBAByAm,m,3,d
uBa,mfn,uBAByAm,m,4,d
uBa,mfn,uBAByAm,m,5,d
uBa,mfn,uBayos,m,6,d
uBa,mfn,uBayos,m,7,d
uBa,mfn,uBO,m,8,d
uBa,mfn,uBe,f,1,d
uBa,mfn,uBe,f,2,d
uBa,mfn,uBAByAm,f,3,d
uBa,mfn,uBAByAm,f,4,d
uBa,mfn,uBAByAm,f,5,d
uBa,mfn,uBayos,f,6,d
uBa,mfn,uBayos,f,7,d
uBa,mfn,uBe,f,8,d
uBa,mfn,uBe,n,1,d
uBa,mfn,uBe,n,2,d
uBa,mfn,uBAByAm,n,3,d
uBa,mfn,uBAByAm,n,4,d
uBa,mfn,uBAByAm,n,5,d
uBa,mfn,uBayos,n,6,d
uBa,mfn,uBe,n,7,d
uBa,mfn,uBe,n,8,d
uBaya,mfn,uBayas,m,1,s
uBaya,mfn,uBayO,m,1,d
uBaya,mfn,uBaye,m,1,p
uBaya,mfn,uBayam,m,2,s
uBaya,mfn,uBayO,m,2,d
uBaya,mfn,uBayAn,m,2,p
uBaya,mfn,uBayena,m,3,s
uBaya,mfn,uBayAByAm,m,3,d
uBaya,mfn,uBayEs,m,3,p
uBaya,mfn,uBayasmE,m,4,s
uBaya,mfn,uBayAByAm,m,4,d
uBaya,mfn,uBayeByas,m,4,p
uBaya,mfn,uBayasmAt,m,5,s
uBaya,mfn,uBayAByAm,m,5,d
uBaya,mfn,uBayeByas,m,5,p
uBaya,mfn,uBayasya,m,6,s
uBaya,mfn,uBayayos,m,6,d
uBaya,mfn,uBayezAm,m,6,p
uBaya,mfn,uBayasmin,m,7,s
uBaya,mfn,uBayayos,m,7,d
uBaya,mfn,uBayezu,m,7,p
uBaya,mfn,uBayas,m,8,s
uBaya,mfn,uBayO,m,8,d
uBaya,mfn,uBaye,m,8,p
uBaya,mfn,uBayA,f,1,s
uBaya,mfn,uBaye,f,1,d
uBaya,mfn,uBayAs,f,1,p
uBaya,mfn,uBayAm,f,2,s
uBaya,mfn,uBaye,f,2,d
uBaya,mfn,uBayAs,f,2,p
uBaya,mfn,uBayayA,f,3,s
uBaya,mfn,uBayAByAm,f,3,d
