L,betacode,index
260317,FATO/S,1
260473,GE/NUS,1
260473,GE/NEION,2
260473,GENEI/AS,3
260473,GNA/QOS,4
260781,QE/ROS,1
261604,O(RI/ZWN,1
261643,XAI/RW,1
262151,A)GOSTO/S,1
262949,U(PO/GEION,1
262971.10,DU/S,1
262971.10,XIMOS,2
262971.10,XIW/N,3
262971.10,XEIMW/N,4
263443,XU-,1
263443,XE/W,2
263443,XE/VW,3
263443,XULO/S,4
263443,XUMO/S,5
263456,B,1
263626,XEI/R,1
263665,KARDI/A,1
263665,KRADI/H,2
263912,U(DROXO/OS,1
264351,*(ERMH=S,1
264404,H(/LIOS,1
264596,W(/RA,1
264653,XQE/S,1
264687,XEREI/WN,1
264747,XA/LAZA,1
264827,KE/XLADA,1
264827,KAXLA/ZW,2
264875,GOA/W,1
